        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      93      94      95      96      97      98      99      100     101     102     103     104     105     106     107     108     109     110     111     112
1       0.0     532.93  615.09  1167.41 1138.69 1018.96 994.7   1113.82 1138.17 1111.11 1089.23 970.1   950.71  1067.18 816.61  865.86  475.04  349.8   431.13  452.88  418.34  430.34  492.12  411.83  563.04  585.31  792.45  335.85  316.72  604.69  906.33  636.57  613.17  945.7   880.95  105.46  747.9   611.95  625.95  152.29  292.2   1005.59 998.36  998.36  1807.14 1007.45 1259.68 1047.27 1023.17 1166.93 1188.82 1194.58 1033.55 1173.3  1043.18 1053.23 956.31  810.13  814.53  787.75  767.99  649.86  620.81  886.79  589.24  233.65  616.05  780.65  1099.76 881.91  944.86  1071.37 1061.54 557.56  654.94  711.94  519.31  480.78  1034.12 725.91  979.57  617.63  1213.97 1070.16 671.16  491.62  514.7   476.31  530.1   503.91  492.85  515.19  493.63  1146.27 1191.92 1191.92 1175.05 1175.05 1087.22 1081.01 1081.01 1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       504.95  0.0     221.09  1672.42 1643.7  1523.97 1499.76 1618.81 1643.16 1616.12 1594.24 1475.11 1455.77 1572.19 615.59  664.74  526.83  668.06  749.39  771.14  923.35  935.35  997.03  916.84  1068.05 1090.32 1297.46 840.86  821.73  1109.7  1411.34 557.73  534.33  744.68  679.93  610.47  546.88  1116.96 1130.96 657.26  797.25  1510.6  1503.37 1503.37 2312.23 1512.46 1764.69 1552.28 1528.18 1671.91 1693.8  1699.59 1538.56 1678.31 1548.19 1558.24 1461.32 609.11  613.51  586.73  1273.0  571.02  541.97  685.79  510.4   471.99  1121.06 1285.66 1604.7  919.38  982.33  901.28  1068.6  595.03  692.41  749.41  835.41  985.79  833.1   1230.94 1484.58 416.61  1718.98 1575.17 470.14  290.64  234.26  275.29  329.08  302.89  291.83  314.17  998.64  1651.28 1696.93 1696.93 1680.06 1680.06 1592.2  1586.02 1586.02 2293.17 1555.63 1573.07 1064.06 956.08  628.44  750.31  678.09  1715.95 941.67  504.95
3       443.52  66.84   0.0     1610.99 1582.27 1462.54 1438.33 1557.4  1581.75 1554.69 1532.81 1413.68 1394.34 1510.76 554.16  603.41  465.49  606.63  687.96  709.71  861.92  873.92  935.6   855.41  1006.62 1028.89 1236.03 779.43  760.3   1048.27 1349.91 496.3   472.9   683.25  618.5   549.04  485.45  1055.53 1069.53 595.78  735.8   1449.17 1441.94 1441.94 2250.8  1451.03 1703.26 1490.85 1466.75 1610.51 1632.4  1638.16 1477.13 1616.88 1486.75 1496.81 1399.89 547.68  552.08  525.28  1211.57 509.59  480.54  624.3   448.97  410.57  1059.63 1224.23 1543.34 857.95  920.9   839.85  1007.17 533.6   630.97  687.93  773.94  924.36  771.67  1169.51 1423.15 355.18  1657.55 1513.74 408.71  229.21  172.93  213.86  267.65  241.46  230.4   252.71  937.21  1589.85 1635.5  1635.5  1618.63 1618.63 1530.77 1524.59 1524.59 2231.71 1494.2  1511.64 1002.63 894.65  567.01  688.88  616.66  1654.52 880.24  443.52
4       1268.26 1607.55 1689.77 0.0     23.92   421.95  397.71  49.29   24.06   47.24   142.26  373.09  353.75  120.21  1891.23 1940.39 1454.42 1290.28 1371.61 1393.36 1183.21 1195.21 851.6   910.38  807.4   829.59  523.14  1202.57 1183.44 1011.98 487.96  1642.55 1619.15 2020.32 1955.57 1180.08 1822.52 977.79  991.79  1090.32 852.14  373.2   365.89  365.89  948.34  174.48  400.75  100.3   164.29  308.01  329.94  335.7   174.67  314.42  184.3   194.27  243.57  1884.75 1889.15 1862.37 1018.55 1655.77 1626.79 1961.43 1595.22 1308.27 866.61  1031.21 275.49  1861.29 1924.24 2050.79 2040.92 1536.94 1634.32 1691.32 1464.5  1309.13 2108.74 995.37  811.56  1692.23 105.39  437.77  1745.78 1566.28 1589.33 1550.93 1604.72 1578.53 1567.47 1589.76 675.66  473.13  122.22  122.22  173.57  173.57  454.85  448.62  448.62  929.25  453.61  215.59  1499.78 961.19  1457.48 1692.22 1953.73 386.67  981.71  1268.26
5       1403.9  1743.19 1825.41 28.79   0.0     497.58  522.33  78.08   52.85   76.03   171.05  401.88  382.52  149.0   2026.87 2076.12 1430.57 1266.43 1347.76 1369.51 1159.36 1171.36 827.75  886.43  783.57  805.84  499.29  1178.72 1159.59 988.13  464.11  1618.7  1595.3  2149.51 2091.18 1315.72 1958.16 953.94  967.89  1233.51 880.92  349.32  342.12  342.12  977.13  203.27  429.59  129.09  193.08  336.77  358.73  364.49  203.46  343.21  213.06  223.14  272.36  2020.39 2024.79 1998.01 994.66  1631.99 1602.94 2097.07 1571.37 1355.16 842.76  1007.36 251.65  1837.44 1900.39 2026.92 2017.07 1513.09 1610.42 1667.47 1440.65 1285.28 2195.42 971.52  787.71  1827.85 81.54   413.92  1881.42 1701.92 1725.04 1686.57 1740.36 1714.17 1703.11 1725.45 704.45  449.28  98.37   98.37   149.72  149.72  431     424.77  424.77  958.07  482.4   244.38  1475.93 937.34  1433.62 1668.37 2089.37 362.83  1010.5  1403.9
6       1142.78 1482.07 1564.29 434.67  405.95  0.0     24.75   381.08  405.43  378.37  356.49  49.72   80.32   334.44  1765.75 1815.0  1323.92 1159.78 1241.11 1262.86 1052.71 1064.71 721.09  779.84  676.92  699.19  392.64  1072.07 1052.94 881.48  357.46  1512.05 1488.65 1894.84 1830.09 1054.6  1697.04 847.29  861.29  964.84  726.66  211.27  204.07  204.07  1074.48 274.69  526.94  314.53  290.43  434.18  456.08  461.84  300.72  440.56  310.44  320.49  223.57  1759.27 1763.67 1736.89 888.05  1525.34 1496.22 1835.95 1464.68 1182.79 736.11  900.71  544.11  1730.79 1793.74 1920.32 1910.42 1406.44 1503.76 1560.82 1334.0  1178.63 1983.26 864.87  688.11  1566.77 487.42  117.14  1620.3  1440.8  1463.92 1425.45 1479.24 1453.05 1441.99 1464.33 550.18  156.99  439.25  439.25  422.38  422.38  134.22  127.99  127.99  1055.42 288.85  335.32  1369.28 830.69  1339.23 1561.72 1828.25 655.29  856.23  1142.78
7       1118.03 1457.32 1539.54 409.92  381.16  54.37   0.0     356.33  380.68  353.62  331.74  24.97   55.57   309.69  1741.0  1790.25 1348.54 1184.47 1265.8  1287.55 1077.4  1089.4  745.79  804.57  701.61  723.88  417.33  1096.76 1077.63 906.17  382.15  1560.96 1537.56 1870.09 1805.34 1029.85 1672.29 871.98  885.98  940.09  701.91  235.99  228.76  228.76  1049.73 249.96  502.19  289.78  265.68  409.44  431.33  437.09  276.06  415.81  285.69  295.74  198.78  1734.52 1738.92 1712.14 912.74  1574.25 1545.2  1811.2  1513.63 1158.04 760.8   925.4   568.8   1755.48 1818.43 1944.96 1935.11 1431.13 1528.51 1585.51 1358.69 1203.32 1958.51 889.56  712.88  1541.97 462.67  141.83  1595.55 1416.05 1439.17 1400.7  1454.49 1428.3  1417.24 1439.58 525.41  181.68  463.94  463.94  447.07  447.07  158.91  152.68  152.68  1030.67 264.17  310.57  1393.97 855.38  1314.48 1586.41 1803.5  679.92  831.48  1118.03
8       1268.55 1607.84 1690.06 53.59   24.87   422.24  398.03  0.0     24.35   47.53   142.55  373.38  354.04  120.5   1891.52 1940.77 1455.37 1291.23 1372.56 1394.31 1184.16 1196.11 852.55  911.33  808.37  830.64  524.09  1203.52 1184.39 1012.93 488.91  1643.5  1620.1  2174.31 1955.86 1180.37 1822.8  978.74  992.74  1090.61 852.43  374.15  366.92  366.92  948.63  174.77  401.08  100.59  164.58  308.34  330.23  335.99  174.96  314.71  184.57  194.61  243.86  1885.04 1889.44 1862.66 1019.5  1656.79 1627.74 1961.72 1596.17 1379.96 867.56  1032.16 276.45  1862.24 1925.19 2051.77 2041.87 1537.89 1635.27 1692.27 1465.43 1310.08 2220.22 996.32  812.51  1692.54 106.34  438.72  1746.07 1566.57 1589.69 1551.22 1605.01 1578.82 1567.76 1590.1  675.91  474.08  123.17  123.17  174.52  174.52  455.8   449.57  449.57  929.57  453.82  215.88  1500.73 962.14  1458.46 1693.09 1954.02 387.63  982     1268.55
9       1244.22 1583.51 1665.73 78.84   50.03   397.91  373.7   25.2    0.0     23.2    118.22  349.05  329.71  96.17   1867.19 1916.44 1480.62 1316.48 1397.81 1419.56 1209.41 1221.41 877.8   936.58  833.62  855.89  549.34  1228.77 1209.64 1038.18 514.16  1668.75 1645.35 1996.28 1931.53 1156.04 1798.48 1003.99 1017.99 1066.28 828.1   399.4   392.17  392.17  924.3   150.44  376.76  76.26   140.25  284.01  305.9   311.66  150.63  290.38  160.26  170.31  219.53  1860.71 1865.11 1838.33 1044.74 1682.04 1652.99 1937.39 1621.42 1284.23 892.81  1057.41 301.7   1887.49 1950.44 2076.96 2067.11 1563.14 1660.52 1717.52 1490.7  1335.33 2084.7  1021.57 837.76  1668.18 131.59  485.37  1721.74 1542.24 1565.36 1526.89 1580.68 1554.49 1543.43 1565.77 651.62  525.22  148.39  148.39  199.77  199.77  502.45  496.22  496.22  905.24  429.57  191.55  1525.98 987.39  1440.67 1718.42 1929.69 412.88  957.58  1244.22
10      1221.02 1560.31 1642.53 173.2   144.48  374.69  350.5   119.61  143.96  0.0     95.02   325.85  306.51  72.97   1843.99 1893.24 1490.35 1377.18 1458.51 1480.2  1320.99 1332.99 966.48  984.24  927.94  950.17  643.7   1238.5  1219.37 1085.84 608.52  1663.95 1640.55 1973.08 1908.33 1132.84 1775.28 1073.1  1087.1  1043.08 804.83  556.33  549.1   549.1   901.1   127.24  353.56  53.06   117.05  260.81  282.7   288.46  127.43  267.18  137.06  147.11  196.33  1837.51 1841.91 1815.13 1139.11 1677.24 1648.18 1914.19 1616.62 1261.03 987.17  1151.77 396.06  1897.22 1960.17 2086.75 2076.85 1572.87 1670.25 1727.23 1546.69 1383.43 2061.5  1200.29 1033.22 1644.97 225.95  462.17  1698.54 1519.04 1542.16 1503.69 1557.48 1531.29 1520.23 1542.53 628.41  502.02  242.78  242.78  294.13  294.13  479.25  473.02  473.02  882.04  406.37  168.35  1574.08 1035.05 1417.47 1728.15 1906.49 507.16  934.47  1221.02
11      1242.9  1582.19 1664.41 78.18   49.46   396.59  372.38  24.59   48.94   21.88   0.0     347.74  328.39  94.79   1865.87 1915.12 1479.96 1315.82 1397.15 1418.99 1208.71 1220.75 877.13  935.92  832.93  855.23  548.75  1228.11 1208.98 1037.52 513.5   1668.09 1644.69 1994.96 1930.21 1154.72 1797.16 1003.33 1017.33 1064.96 826.77  398.7   391.51  391.51  922.98  149.13  375.44  74.94   138.93  282.69  304.58  310.34  149.31  289.06  158.94  169.02  218.21  1859.39 1863.79 1837.01 1044.09 1681.3  1652.32 1936.07 1620.76 1282.91 892.15  1056.75 301.04  1886.83 1949.78 2076.31 2066.46 1562.48 1659.82 1716.86 1490.04 1334.67 2083.38 1020.91 837.1   1666.85 130.93  463.31  1720.42 1540.92 1564.04 1525.57 1579.36 1553.17 1542.11 1564.45 650.3   523.9   147.76  147.76  199.11  199.11  480.34  474.16  474.16  903.92  428.16  190.23  1525.32 986.73  1439.35 1717.76 1928.37 412.22  956.35  1242.9
12      1093.06 1432.35 1514.57 384.95  356.22  79.34   55.13   331.27  355.71  328.58  306.69  0.0     30.6    284.72  1716.03 1765.28 1362.39 1249.22 1330.55 1352.3  1102.37 1114.37 770.7   829.54  726.58  748.85  442.3   1110.54 1091.41 931.14  407.12  1535.99 1512.59 1845.02 1780.37 1004.88 1647.32 896.95  910.95  915.12  676.94  260.96  253.72  253.72  1024.76 224.99  477.22  264.81  240.71  384.47  406.36  412.05  251.09  390.84  260.72  270.77  173.85  1709.55 1713.95 1687.17 937.71  1549.28 1520.23 1786.23 1488.66 1133.07 785.77  950.37  593.72  1769.26 1832.21 1958.79 1948.89 1444.91 1542.22 1599.29 1418.73 1255.47 1933.54 914.53  737.8   1517.05 437.7   166.8   1570.58 1391.08 1414.2  1375.73 1429.52 1403.3  1392.27 1414.6  500.46  206.65  454.53  454.53  472.04  472.04  183.88  177.65  177.65  1005.7  239.22  285.6   1446.12 880.3   1289.51 1600.19 1778.53 704.95  806.51  1093.06
13      1062.43 1401.75 1483.97 354.35  325.63  202.94  178.73  300.76  325.11  298.05  276.17  154.08  0.0     254.12  1685.43 1734.68 1331.79 1218.62 1299.95 1321.62 1162.43 1174.43 807.92  825.68  850.18  872.45  565.9   1079.94 1060.81 927.28  530.72  1505.39 1481.99 1814.45 1749.77 974.28  1616.7  914.54  928.51  884.42  646.34  384.56  377.33  377.33  994.16  194.39  446.62  234.21  210.11  353.87  375.76  381.52  220.49  360.24  230.11  240.15  143.16  1678.95 1683.35 1656.57 1061.31 1518.68 1489.63 1755.63 1458.06 1102.47 909.33  1073.97 717.37  1738.66 1801.61 1928.19 1918.29 1414.31 1511.69 1568.69 1388.13 1224.87 1902.94 1038.13 861.45  1486.45 407.1   290.4   1539.98 1360.48 1383.6  1345.13 1398.92 1372.73 1361.67 1384.01 469.86  330.25  423.93  423.93  475.28  475.28  307.48  301.25  301.25  975.1   208.53  255     1415.52 876.4   1258.91 1569.59 1747.93 828.55  775.91  1062.43
14      1264.95 1604.24 1686.46 100.23  71.51   418.64  394.41  46.64   70.99   43.93   22.05   369.76  350.44  0.0     1887.92 1937.17 1502.01 1337.87 1419.2  1440.95 1230.77 1242.8  899.19  957.97  854.92  877.28  570.73  1250.16 1231.03 1059.57 535.55  1690.14 1666.74 2016.96 1952.26 1176.77 1819.21 1025.38 1039.38 1087.01 848.82  420.79  413.48  413.48  945.03  171.17  397.49  96.99   160.98  304.74  326.63  332.39  171.36  311.11  180.99  191.04  240.26  1881.44 1885.84 1859.06 1066.11 1703.43 1674.38 1958.12 1642.81 1304.96 914.2   1078.81 323.07  1908.88 1971.83 2098.41 2088.51 1584.53 1681.91 1738.91 1512.09 1356.72 2105.43 1042.96 859.15  1688.94 152.98  485.36  1742.47 1562.97 1586.05 1547.62 1601.41 1575.13 1564.16 1586.5  672.35  545.95  169.81  169.81  221.15  221.15  502.44  496.21  496.21  925.97  450.3   212.28  1547.37 1008.78 1461.4  1739.81 1950.42 434.27  978.4   1264.95
15      797.45  634.77  716.99  1964.94 1936.22 1816.49 1792.28 1911.35 1935.7  1908.64 1886.76 1767.63 1748.29 1864.71 0.0     49.25   819.35  960.58  1041.91 1063.66 1215.87 1227.87 1289.65 1209.36 1360.57 1382.84 1589.98 1133.38 1114.25 1402.22 1703.86 850.25  826.85  420.22  64.34   902.97  172.03  1409.48 1423.48 949.79  1089.77 1803.12 1795.89 1795.89 2604.73 1804.97 2057.21 1844.8  1820.7  1964.46 1986.35 1992.11 1831.08 1970.83 1840.71 1850.71 1753.77 229.72  81.52   112.34  1565.52 863.54  834.49  396.28  802.92  764.52  1413.58 1578.18 1897.29 793.83  856.78  573.47  715.8   887.55  984.93  1041.93 1127.93 1278.31 480.3   1523.46 1777.1  569.25  2011.5  1867.69 274.58  458.16  616.57  396.09  538.71  512.44  501.46  523.8   1291.16 1943.8  1989.45 1989.45 1972.58 1972.58 1884.72 1878.54 1878.54 2585.69 1848.15 1865.59 1356.58 1248.58 920.96  1042.83 357.46  2008.47 1234.19 797.45
