        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22
1       0.0     816.61  865.86  475.04  349.8   431.13  452.88  418.34  430.34  492.12  411.83  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       797.45  0.0     49.25   819.35  960.58  1041.91 1063.66 1215.87 1227.87 1289.65 1209.36 2585.69 1848.15 1865.59 1356.58 1248.58 920.96  1042.83 357.46  2008.47 1234.19 797.45
3       748.28  43.51   0.0     770.1   911.33  992.66  1014.41 1166.62 1178.62 1240.4  1160.11 2536.44 1798.9  1816.34 1307.33 1199.35 871.71  993.58  308.23  1959.22 1184.94 748.28
4       340.11  897.37  946.62  0.0     141.16  222.49  244.18  503.04  515.04  578.07  497.78  2116.26 1378.72 1396.16 537.16  537.02  276.43  492.93  959.87  1296.89 764.76  340.11
5       515.6   1138.61 1187.86 499.08  0.0     81.29   103.08  361.88  373.88  436.91  356.57  1975.1  1237.56 1255    614.97  395.86  502.17  736.88  1201.11 1155.73 623.6   515.6
6       434.31  1057.28 1106.44 417.75  253.61  0       21.75   280.55  292.55  355.58  275.29  1893.77 1156.23 1173.67 533.64  314.53  420.77  655.55  1119.78 1074.4  542.27  434.31
7       412.62  1035.49 1084.84 396.06  231.92  313.25  0       258.86  270.86  333.89  253.6   1872.07 1134.54 1151.98 511.95  292.84  399.15  633.86  1098.09 1052.71 520.58  412.62
8       533.65  1156.62 1205.87 558.98  394.89  476.22  497.97  0.0     12.01   416.37  336.08  1993.11 1255.57 1273.01 565.01  375.32  562.12  796.83  1219.12 1135.19 641.61  533.65
9       521.64  1144.61 1193.86 547.02  382.88  464.21  485.96  42.08   0.0     404.36  324.07  1981.1  1243.56 1261    553     363.31  550.06  784.82  1207.11 1123.18 629.6   521.64
10      653.68  1276.72 1325.97 680.42  516.28  597.61  619.36  421.65  433.65  0       136.38  1699.69 950.64  964.12  725.69  187.19  683.51  918.22  1339.22 718.82  427.02  653.68
11      608.63  1231.6  1280.85 635.3   471.16  552.49  574.24  501.94  513.94  80.29   0       1656.52 918.98  936.33  680.66  142.07  638.39  873.07  1294.1  799.11  399.34  608.63
12      2171.34 2794.36 2843.61 2440.72 2327.55 2408.88 2430.63 2271.36 2283.36 1916.85 1934.61 0       1356.74 1113.06 2524.45 1985.42 2367.84 2678.52 2856.86 1637.92 1884.84 2171.34
13      1207.93 1830.9  1880.15 1370.71 1206.6  1287.86 1309.61 1099.46 1111.46 767.85  826.59  1120.54 0       400.47  1416.03 877.44  1404.38 1608.47 1893.43 702.04  921.43  1207.93
14      1217.4  1840.4  1889.65 1486.76 1373.59 1454.92 1476.67 1317.4  1329.4  962.89  980.65  889.54  402.78  0       1570.49 1031.46 1413.88 1724.49 1902.9  608.56  930.88  1217.4
15      708.69  1265.89 1315.2  640.55  474.69  556.02  577.77  399.89  411.89  645.71  565.42  2222.45 1484.91 1502.35 0       604.66  645.01  607.17  1184.29 1364.53 870.95  708.69
16      561.45  1184.42 1233.67 588.12  423.98  505.31  527.07  380.39  392.39  127.52  47.26   1703.81 966.27  983.71  633.5   0       591.21  825.92  1246.97 846.4   446.68  561.45
17      346.09  903.39  952.54  316.91  191.67  273     294.75  553.55  565.55  628.58  548.29  2134.29 1396.75 1414.19 589.83  587.53  0       554.71  965.89  1347.4  782.79  346.09
18      1078.05 906.85  956.15  737.96  879.1   960.43  982.18  1240.98 1252.98 1316.01 1235.69 2854.2  2116.58 2134.1  959.75  1274.96 1014.37 0       710.79  2034.83 1502.7  1078.05
19      780.51  266.24  315.53  802.43  943.65  1024.98 1046.73 1198.94 1210.94 1272.72 1192.43 2568.75 1831.22 1848.66 1156.91 1231.67 904.03  879.88  0       1991.54 1217.26 780.51
20      1222.87 1845.84 1895.09 1249.6  1085.47 1166.73 1188.48 978.33  990.33  646.72  705.5   1314.11 802.53  460.58  1294.9  756.31  1252.63 1487.38 1908.34 0       996.21  1222.87
21      491.64  1114.66 1163.86 760.97  647.8   729.14  750.88  591.61  603.61  333.75  351.5   1566.92 829.38  846.82  844.7   402.19  688.09  998.77  1177.11 1052.55 0       491.64
22      0.0     816.61  865.86  475.04  349.8   431.13  452.88  418.34  430.34  492.12  411.83  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
