        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52
1       0.0     617.63  1213.97 1070.16 671.16  491.62  514.7   476.31  530.1   503.91  492.85  515.19  292.2   493.63  1146.27 1191.92 1191.92 1175.05 1175.05 1087.22 1081.01 1081.01 816.61  865.86  475.04  349.8   431.13  452.88  430.34  492.12  411.83  563.04  585.31  792.45  335.85  316.72  604.69  906.33  636.57  613.17  945.7   1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       570.66  0.0     1784.63 1640.82 53.53   231.29  389.75  169.22  311.84  285.63  274.59  296.93  862.9   1064.29 1716.93 1762.58 1762.58 1745.68 1745.68 1657.86 1651.67 1651.67 198.98  248.23  592.57  733.71  815.04  836.75  1001.0  1062.78 982.49  1133.7  1155.97 1363.11 906.51  887.38  1175.35 1476.99 623.38  599.98  328.07  2358.82 1621.28 1638.72 1129.71 1021.73 694.09  815.96  261.48  1781.6  1007.32 570.66
3       1322.36 1746.35 0.0     332.38  1799.88 1620.38 1643.5  1605.03 1658.82 1632.63 1621.48 1643.86 966.08  784.99  367.74  16.83   16.83   68.17   68.17   349.46  343.23  343.23  1945.33 1994.58 1349.03 1184.89 1266.22 1287.97 1089.82 746.21  804.99  702.03  724.3   417.75  1097.18 1078.05 906.59  382.57  1537.16 1513.76 2067.97 1038.61 704.98  324.92  1394.39 855.8   1352.12 1586.83 2007.83 281.29  1095.7  1322.36
4       1226.41 1650.46 422.03  0.0     1703.99 1524.49 1547.61 1509.14 1562.93 1536.74 1525.68 1548.02 810.27  633.87  117.72  399.98  399.98  383.11  383.11  17.11   10.88   10.88   1849.44 1898.61 1284.65 1120.51 1201.84 1223.59 1025.44 681.83  740.61  637.65  659.92  353.37  1032.8  1013.67 842.21  318.19  1472.78 1449.31 1978.46 1139.11 372.63  419.01  1330.01 791.42  1287.74 1522.45 1911.94 616.02  939.92  1226.41
5       585.54  357.32  1799.57 1655.76 0.0     246.23  404.69  184.16  326.78  300.59  289.53  311.87  877.84  1079.23 1731.87 1777.52 1777.52 1760.65 1760.65 1672.79 1666.61 1666.61 197.61  246.86  607.51  748.65  829.98  851.73  1015.94 1077.62 997.43  1148.64 1170.85 1378.05 921.45  902.32  1190.29 1491.93 638.32  614.92  321.82  2373.76 1636.22 1653.66 1144.65 1036.67 709.03  830.9   255.22  1796.54 1022.26 585.54
6       414.62  190.96  1628.65 1484.84 244.49  0.0     233.77  49.64   155.86  129.67  118.55  140.95  706.92  908.31  1560.95 1606.6  1606.6  1589.73 1589.73 1501.87 1495.69 1495.69 389.94  439.19  436.59  577.73  659.06  680.81  845.02  906.7   826.51  977.72  999.99  1207.13 750.53  731.4   1019.37 1320.95 467.31  443.95  519.03  2202.82 1465.3  1482.74 973.73  865.75  538.11  659.98  452.36  1625.62 851.34  414.62
7       398.08  309.74  1612.11 1468.3  363.27  183.73  0.0     168.42  222.21  196.02  184.96  207.3   690.38  891.77  1544.41 1590.06 1590.06 1573.19 1573.19 1485.32 1479.15 1479.15 508.72  557.92  420.05  561.19  642.52  664.27  828.48  890.16  809.97  961.18  983.45  1190.59 733.99  714.86  1002.83 1304.47 450.86  427.46  637.81  2186.3  1448.76 1466.2  957.19  849.21  521.57  643.44  571.22  1609.08 834.7   398.08
8       425.49  175.67  1639.46 1495.65 229.2   86.12   244.58  0.0     166.67  140.48  129.42  151.75  717.73  919.12  1571.76 1617.41 1617.41 1600.54 1600.54 1512.69 1506.5  1506.5  374.65  423.9   447.4   588.54  669.87  691.62  855.83  917.61  837.32  988.53  1010.8  1217.94 761.34  742.21  1030.18 1331.82 478.21  454.81  503.74  2213.65 1476.09 1493.55 984.54  876.56  548.92  670.79  437.15  1636.43 862.15  425.49
9       368.68  207.75  1582.71 1438.9  261.28  81.78   187.83  66.43   0.0     84.37   73.31   95.65   660.98  862.37  1515.01 1560.66 1560.66 1543.79 1543.79 1455.93 1449.75 1449.75 406.73  455.88  390.65  531.79  613.12  634.87  799.08  860.86  780.57  931.78  954.05  1161.19 704.59  685.46  973.43  1275.07 421.46  398.06  535.82  2156.9  1419.36 1436.8  927.79  819.79  492.17  614.04  469.23  1579.68 805.4   368.68
10      394.93  233.94  1608.9  1465.08 287.38  107.97  214.02  92.62   26.19   0       99.5    11.28   687.17  888.56  1541.2  1586.85 1586.85 1569.98 1569.98 1482.13 1475.94 1475.94 432.92  482.17  416.84  557.93  639.31  661.06  825.27  887.05  806.76  957.97  980.24  1187.38 730.78  711.65  999.62  1301.26 447.65  424.25  562.01  2183.09 1445.55 1462.99 953.98  846     518.36  640.23  495.39  1605.87 831.57  394.93
11      405.99  245.0   1619.96 1476.15 298.53  119.03  225.08  103.68  37.25   11.06   0       22.34   698.23  899.62  1552.26 1597.91 1597.91 1581.04 1581.04 1493.19 1487    1487    443.98  493.23  427.9   569.0   650.37  672.12  836.33  898.11  817.82  969.03  991.3   1198.44 741.84  722.71  1010.68 1312.32 458.71  435.31  573.07  2194.15 1456.61 1474.05 965.04  857.06  529.42  651.29  506.48  1616.93 842.65  405.99
12      383.59  222.6   1597.62 1453.81 276.11  96.69   202.74  81.34   14.91   99.2    88.22   0       675.89  877.28  1529.92 1575.57 1575.57 1558.7  1558.7  1470.84 1464.66 1464.66 421.64  470.89  405.48  546.7   628.03  649.78  813.99  875.67  795.48  946.69  968.96  1176.1  719.53  700.37  988.34  1289.98 436.37  413.03  550.73  2171.81 1434.27 1451.71 942.7   834.74  507.08  628.95  484.14  1594.59 820.25  383.59
