        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17
1       0.0     810.13  814.53  787.75  767.99  649.86  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       701.91  0.0     128.24  101.46  1469.97 767.99  2490.14 1752.6  1770.02 1261.03 1153.05 825.41  947.28  252.51  1912.92 1138.64 701.91
3       715.96  148.24  0.0     30.86   1484.04 782.06  2504.21 1766.67 1784.11 1275.1  1167.12 839.48  961.35  275.91  1926.99 1152.64 715.96
4       685.11  117.38  106.86  0.0     1453.18 751.2   2473.35 1735.81 1753.25 1244.24 1136.26 808.62  930.49  245.14  1896.13 1121.85 685.11
5       912.38  1528.87 1533.27 1506.4  0.0     1140.47 1936.27 1205.31 1222.75 984.41  445.82  942.08  1176.83 1597.85 955.4   685.72  912.38
6       621.44  857.92  862.32  835.54  1162.64 0       2409.69 1672.16 1689.5  845.9   845.72  585.12  532.11  926.9   1605.59 1058.1  621.44
7       2171.34 2787.88 2792.28 2765.5  2128.65 2627.61 0       1356.74 1113.06 2524.45 1985.42 2367.84 2678.52 2856.86 1637.92 1884.84 2171.34
8       1207.93 1824.42 1828.82 1802.04 934.8   1572.09 1120.54 0       400.47  1416.03 877.44  1404.38 1608.47 1893.43 702.04  921.43  1207.93
9       1217.4  1833.92 1838.32 1811.54 1229.49 1673.58 889.54  402.78  0       1570.49 1031.46 1413.88 1724.49 1902.9  608.56  930.88  1217.4
10      708.69  1259.47 1263.87 1237.09 921.58  841.97  2222.45 1484.91 1502.35 0       604.66  645.01  607.17  1184.29 1364.53 870.95  708.69
11      561.45  1177.94 1182.34 1155.56 403.42  789.54  1703.81 966.27  983.71  633.5   0       591.21  825.92  1246.97 846.4   446.68  561.45
12      346.09  896.91  901.31  874.53  904.45  518.33  2134.29 1396.75 1414.19 589.83  587.53  0       554.71  965.89  1347.4  782.79  346.09
13      1078.05 776.58  904.82  878.01  1591.88 935.86  2854.2  2116.58 2134.1  959.75  1274.96 1014.37 0       710.79  2034.83 1502.7  1078.05
14      780.51  135.96  264.2   237.42  1548.59 846.61  2568.75 1831.22 1848.66 1156.91 1231.67 904.03  879.88  0       1991.54 1217.26 780.51
15      1222.87 1839.36 1843.76 1816.98 813.67  1450.96 1314.11 802.53  460.58  1294.9  756.31  1252.63 1487.38 1908.34 0       996.21  1222.87
16      491.64  1108.2  1112.62 1085.73 609.56  947.88  1566.92 829.38  846.82  844.7   402.19  688.09  998.77  1177.11 1052.55 0       491.64
17      0.0     810.13  814.53  787.75  767.99  649.86  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
