        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72
1       0.0     1007.45 1259.68 1047.27 1023.17 1166.93 1188.82 1194.58 1033.55 1173.3  1043.18 1053.23 956.31  810.13  814.53  787.75  767.99  649.86  620.81  886.79  589.24  233.65  616.05  780.65  1099.76 881.91  944.86  1071.37 1061.54 557.56  654.94  711.94  519.31  480.78  1034.12 725.91  979.57  617.63  1213.97 1070.16 671.16  491.62  514.7   476.31  530.1   503.91  492.85  515.19  493.63  1146.27 1191.92 1191.92 1175.05 1175.05 1087.22 1081.01 1081.01 1041.79 957.38  704.16  524.51  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1093.78 0.0     367.75  155.28  131.24  275.0   296.89  302.65  141.62  281.37  151.25  161.3   69.09   1710.27 1714.67 1687.89 1105.84 1550    1520.95 1786.95 1489.38 1133.79 953.9   1118.5  498.34  1769.98 1832.93 1959.47 1949.61 1445.63 1543.01 1600.01 1419.45 1256.19 1934.26 1073.05 905.98  1517.77 328.23  334.93  1571.3  1391.8  1414.92 1376.45 1430.24 1404.05 1392.99 1415.33 501.18  374.78  345.06  345.06  396.41  396.41  352.01  345.78  345.78  1929.86 1845.45 1592.23 1424.65 896.23  279.13  176.13  1446.84 907.8   1290.23 1600.91 1779.25 609.52  807.23  1093.78
3       1598.31 504.5   0.0     528.72  489.74  398.18  420.07  425.83  437.2   404.55  446.83  456.88  573.62  2214.8  2219.2  2192.42 1557.56 2054.53 2025.48 2291.48 1993.91 1638.32 1405.62 1570.22 955.57  2274.51 2337.46 2464.01 2454.14 1950.16 2047.52 2104.47 1923.98 1760.72 2438.79 1534.31 1246.48 2022.3  701.69  839.46  2075.79 1896.33 1919.36 1880.98 1934.7  1908.58 1897.52 1919.86 1005.71 879.31  718.52  718.52  1030.94 1030.94 856.47  850.31  850.31  2434.39 2349.98 2096.76 1929.18 528.48  783.66  540.06  1951.37 1412.34 1794.76 2105.44 2283.78 1066.83 1311.76 1598.31
4       1284.86 191.08  417.4   0.0     180.89  324.65  346.54  352.3   191.27  331.02  200.9   210.95  260.17  1901.35 1905.75 1878.97 1086.05 1723.34 1694.29 1978.03 1662.72 1324.87 934.11  1098.71 343.0   1928.79 1991.74 2118.32 2108.42 1604.37 1701.82 1758.82 1532.0  1376.63 2125.34 1062.87 879.06  1708.85 172.89  505.27  1762.38 1582.88 1606.0  1567.53 1621.32 1595.13 1584.07 1606.41 692.26  565.86  189.72  189.72  241.07  241.07  522.35  516.12  516.12  2088.67 2004.26 1750.97 1537.2  945.88  470.21  232.19  1567.28 1028.69 1481.31 1759.72 1970.33 454.18  998.31  1284.86
5       1171.49 77.71   236.51  101.98  0.0     143.76  165.65  171.41  10.38   150.13  20.01   30.05   146.8   1787.98 1792.38 1765.6  1183.55 1627.67 1598.66 1864.66 1567.09 1211.5  1031.61 1196.21 444.98  1847.69 1910.64 2037.18 2027.24 1523.34 1620.72 1677.72 1497.16 1333.9  2011.97 1150.76 983.69  1595.48 274.87  412.64  1649.01 1469.51 1492.63 1454.16 1507.95 1481.76 1470.7  1493.04 578.89  452.49  291.7   291.7   343.05  343.05  429.72  423.44  423.44  2007.57 1923.16 1669.94 1502.36 764.99  356.84  113.24  1524.55 985.52  1367.94 1678.62 1856.96 556.12  884.94  1171.49
6       1297.23 203.45  180.8   227.72  188.66  0.0     64.43   70.19   136.12  6.37    145.65  155.8   272.54  1913.72 1918.12 1891.34 1309.29 1753.45 1724.4  1990.38 1692.83 1337.24 1157.35 1321.95 570.72  1973.43 2036.38 2162.96 2153.06 1649.08 1746.46 1803.46 1622.9  1459.64 2137.71 1276.5  1109.38 1721.2  400.61  538.38  1774.75 1595.25 1618.3  1579.9  1633.69 1607.5  1596.44 1618.78 704.63  578.23  417.44  417.44  468.79  468.79  555.44  549.23  549.23  2133.31 2048.9  1795.68 1628.1  709.34  482.58  238.98  1650.29 1111.26 1493.68 1804.36 1982.7  681.9   1010.68 1297.23
7       1322.25 228.47  205.88  252.74  213.68  24.96   0.0     5.76    161.14  31.39   170.77  180.82  297.56  1938.74 1943.14 1916.36 1334.31 1778.47 1749.42 2015.42 1717.85 1362.26 1182.37 1346.97 595.74  1998.45 2061.4  2187.98 2178.08 1674.1  1771.48 1828.48 1647.92 1484.66 2162.73 1301.44 1134.45 1746.24 425.63  563.4   1799.77 1620.27 1643.39 1604.92 1658.67 1632.52 1621.38 1643.8  729.65  603.16  442.46  442.46  493.81  493.81  580.48  574.25  574.25  2158.33 2073.92 1820.7  1653.12 734.36  507.6   263.92  1675.31 1136.28 1518.7  1829.38 2007.72 706.92  1035.7  1322.25
8       1316.49 222.62  200.12  246.98  207.92  19.26   27.12   0.0     155.38  25.63   165.01  175.06  291.8   1932.98 1937.38 1910.6  1328.55 1772.71 1743.66 2009.66 1712.09 1356.5  1176.61 1341.21 589.98  1992.69 2055.64 2182.22 2172.32 1668.34 1765.72 1822.72 1642.16 1478.9  2156.97 1295.76 1128.69 1740.39 419.87  557.64  1793.91 1614.51 1637.63 1599.16 1652.86 1626.71 1615.7  1637.97 723.89  597.49  436.7   436.7   488.01  488.01  574.72  568.49  568.49  2152.57 2068.16 1814.94 1647.36 728.6   501.84  258.24  1669.55 1130.52 1512.94 1823.62 2001.96 701.16  1029.94 1316.49
9       1161.11 67.33   289.05  91.6    52.45   196.26  218.19  223.95  0.0     202.67  9.63    19.68   136.42  1777.6  1782.0  1755.22 1173.17 1617.33 1588.28 1854.28 1556.71 1201.12 1021.23 1185.74 434.6   1837.31 1900.26 2026.84 2016.94 1512.96 1610.34 1667.27 1486.78 1323.52 2001.59 1140.38 973.31  1585.0  264.39  402.26  1638.63 1459.09 1482.25 1443.78 1497.57 1471.38 1460.32 1482.65 568.51  442.11  281.32  281.32  332.67  332.67  419.34  413.11  413.11  1997.19 1912.78 1659.56 1491.98 817.53  346.41  102.86  1514.17 975.14  1357.56 1668.24 1846.58 545.78  874.56  1161.11
10      1290.86 197.08  174.49  221.35  182.28  36.17   58.06   63.82   129.75  0.0     139.38  149.34  266.17  1907.35 1911.75 1884.97 1302.92 1747.08 1718.03 1984.03 1686.36 1330.87 1150.98 1315.58 564.35  1967.06 2030.01 2156.59 2146.69 1642.71 1740.09 1797.0  1616.53 1453.27 2131.34 1270.13 1103.06 1714.85 394.24  532.01  1768.3  1588.88 1611.91 1573.53 1627.32 1601.13 1590.07 1612.34 698.2   571.86  411.07  411.07  462.33  462.33  549.09  542.86  542.86  2126.94 2042.53 1789.21 1621.73 702.89  476.13  232.61  1643.92 1104.89 1487.31 1797.99 1976.33 675.5   1004.31 1290.86
11      1151.57 57.79   279.51  82.06   43.0    186.76  208.65  214.41  53.38   193.13  0.0     10.14   126.88  1768.06 1772.46 1745.68 1163.63 1607.79 1578.74 1844.74 1547.17 1191.58 1011.69 1176.29 425.06  1827.77 1890.72 2017.3  2007.4  1503.42 1600.8  1657.8  1477.21 1313.98 1992.05 1130.84 963.77  1575.47 254.95  392.72  1629.09 1449.59 1472.63 1434.24 1488.03 1461.81 1450.78 1473.06 558.97  432.57  271.78  271.78  323.08  323.08  409.8   403.5   403.5   1987.65 1903.24 1650.02 1482.44 807.99  336.92  93.24   1504.58 965.6   1348.02 1658.7  1837.04 536.24  865.02  1151.57
12      1141.36 47.65   269.37  71.92   32.86   176.62  198.51  204.27  43.24   182.99  52.87   0.0     116.74  1757.92 1762.32 1735.52 1153.49 1597.65 1568.6  1834.6  1537.03 1181.44 1001.46 1166.15 414.92  1817.63 1880.58 2007.12 1997.26 1493.28 1590.66 1647.66 1467.1  1303.84 1981.91 1120.7  953.58  1565.42 244.81  382.58  1618.95 1439.45 1462.53 1424.1  1477.89 1451.7  1440.64 1462.98 548.83  422.43  261.64  261.64  312.99  312.99  399.66  393.39  393.39  1977.51 1893.1  1639.88 1472.3  797.85  326.78  83.18   1494.49 955.46  1337.88 1648.56 1826.9  526.1   854.88  1141.36
13      1024.69 139.51  391.74  179.32  155.23  298.99  320.88  326.59  165.61  305.36  175.24  185.29  0.0     1641.18 1645.58 1618.8  1036.75 1480.9  1451.86 1717.86 1420.26 1064.7  884.81  1049.41 692.81  1700.89 1763.78 1890.42 1880.52 1376.54 1473.92 1530.92 1350.36 1187.1  1865.17 1003.96 836.89  1448.61 352.22  265.84  1502.21 1322.71 1345.83 1307.36 1361.15 1334.96 1323.9  1346.24 432.09  305.69  369.05  369.05  420.39  420.39  282.92  276.69  276.69  1860.77 1776.36 1523.14 1355.56 920.22  210.04  200.12  1377.75 838.72  1221.14 1531.77 1710.16 803.99  738.14  1024.69
14      701.91  1709.34 1961.66 1749.25 1725.15 1868.81 1890.8  1896.56 1735.53 1875.28 1745.16 1755.21 1658.29 0.0     128.24  101.46  1469.97 767.99  738.94  300.73  707.37  668.97  1318.03 1482.63 1801.74 688.86  751.81  468.5   610.83  792.0   889.35  946.38  1032.38 1182.76 375.33  1427.89 1681.55 473.7   1915.95 1772.14 179.03  362.61  521.04  300.48  443.16  416.97  405.91  428.25  1195.61 1848.25 1893.9  1893.9  1877.03 1877.03 1789.22 1782.99 1782.99 475.31  505.93  938.6   1037.58 2490.14 1752.6  1770.02 1261.03 1153.05 825.41  947.28  252.51  1912.92 1138.64 701.91
15      715.96  1723.5  1975.73 1763.32 1739.22 1882.98 1904.87 1910.63 1749.6  1889.35 1759.23 1769.28 1672.31 148.24  0.0     30.86   1484.04 782.06  753     314.8   721.44  683.04  1332.1  1496.7  1815.81 712.35  775.3   491.99  634.32  806.07  903.45  960.45  1046.45 1196.83 398.82  1441.98 1695.58 487.77  1930.02 1786.21 193.1   376.67  535.14  314.61  457.23  431.04  419.89  442.32  1209.68 1862.32 1907.97 1907.97 1891.1  1891.1  1803.24 1797.06 1797.06 498.8   529.42  952.67  1051.65 2504.21 1766.67 1784.11 1275.1  1167.12 839.48  961.35  275.91  1926.99 1152.64 715.96
16      685.11  1692.64 1944.87 1732.46 1708.36 1852.12 1874.01 1879.77 1718.74 1858.49 1728.37 1738.42 1641.46 117.38  106.86  0.0     1453.18 751.2   722.15  283.94  690.58  652.18  1301.24 1465.84 1784.95 681.49  744.44  461.13  603.46  775.21  872.59  929.59  1015.59 1165.97 367.96  1411.12 1664.76 456.91  1899.16 1755.35 162.24  345.82  504.28  283.69  426.36  400.18  389.12  411.46  1178.82 1831.46 1877.11 1877.11 1860.24 1860.24 1772.38 1766.2  1766.2  467.94  498.56  921.81  1020.79 2473.35 1735.81 1753.25 1244.24 1136.26 808.62  930.49  245.14  1896.13 1121.85 685.11
17      912.38  1162.14 1414.37 1201.96 1177.86 1321.62 1343.51 1349.27 1188.24 1327.99 1197.87 1207.92 1111.0  1528.87 1533.27 1506.4  0.0     1140.47 1111.42 1605.55 1079.8  863.64  229.0   12.66   844.22  1345.92 1408.87 1535.45 1525.55 1021.52 1118.95 1175.95 949.13  793.76  1703.9  484.7   738.34  1336.35 958.43  814.62  1389.9  1210.36 1233.52 1195.05 1248.84 1222.65 1211.59 1233.93 648.32  849.98  936.38  936.38  919.51  919.51  831.7   825.47  825.47  1505.8  1421.39 1168.09 954.33  1936.27 1205.31 1222.75 984.41  445.82  942.08  1176.83 1597.85 955.4   685.72  912.38
18      621.44  1628.82 1881.12 1668.66 1644.61 1788.37 1810.26 1816.02 1654.99 1794.68 1664.62 1674.59 1577.68 857.92  862.32  835.54  1162.64 0       175.66  934.6   144.16  506.63  1010.7  1175.3  1494.41 701.18  764.13  890.71  880.81  376.88  474.21  531.23  617.21  874.23  1081.91 1120.58 1374.19 665.42  1608.62 1464.81 718.86  539.45  562.54  524.1   577.89  551.7   540.64  562.98  1115.14 1500.17 1586.57 1586.57 1569.7  1569.7  1481.89 1475.66 1475.66 861.06  776.65  523.43  622.41  2409.69 1672.16 1689.5  845.9   845.72  585.12  532.11  926.9   1605.59 1058.1  621.44
