        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92
1       0.0     1007.45 1259.68 1047.27 1023.17 1166.93 1188.82 1194.58 1033.55 1173.3  1043.18 1053.23 956.31  881.91  944.86  1071.37 1061.54 557.56  654.94  711.94  519.31  480.78  1034.12 725.91  979.57  617.63  1213.97 1070.16 671.16  491.62  514.7   476.31  530.1   503.91  492.85  515.19  292.2   493.63  1146.27 1191.92 1191.92 1175.05 1175.05 1087.22 1081.01 1081.01 532.93  615.09  1167.41 1138.69 1018.96 994.7   1113.82 1138.17 1111.11 1089.23 970.1   950.71  1067.18 1807.14 816.61  865.86  475.04  349.8   431.13  452.88  418.34  430.34  492.12  411.83  563.04  585.31  792.45  335.85  316.72  604.69  906.33  636.57  613.17  945.7   880.95  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1093.78 0.0     367.75  155.28  131.24  275.0   296.89  302.65  141.62  281.37  151.25  161.3   69.09   1769.98 1832.93 1959.47 1949.61 1445.63 1543.01 1600.01 1419.45 1256.19 1934.26 1073.05 905.98  1517.77 328.23  334.93  1571.3  1391.8  1414.92 1376.45 1430.24 1404.05 1392.99 1415.33 677.66  501.18  374.78  345.06  345.06  396.41  396.41  352.01  345.78  345.78  1433.07 1515.29 275.48  246.76  247.47  223.26  221.89  246.24  219.18  197.3   198.61  179.27  175.25  915.29  1716.75 1766.0  1363.11 1249.94 1331.27 1353.02 1193.75 1205.75 839.24  857     910.16  932.43  610.43  1111.26 1092.13 958.6   575.25  1536.71 1513.31 1845.84 1781.09 896.23  279.13  176.13  1446.84 907.8   1290.23 1600.91 1779.25 609.52  807.23  1093.78
3       1598.31 504.5   0.0     528.72  489.74  398.18  420.07  425.83  437.2   404.55  446.83  456.88  573.62  2274.51 2337.46 2464.01 2454.14 1950.16 2047.52 2104.47 1923.98 1760.72 2438.79 1534.31 1246.48 2022.3  701.69  839.46  2075.79 1896.33 1919.36 1880.98 1934.7  1908.58 1897.52 1919.86 1182.19 1005.71 879.31  718.52  718.52  1030.94 1030.94 856.47  850.31  850.31  1937.6  2019.82 648.94  620.12  752.0   727.79  595.35  619.7   592.64  570.76  703.14  683.74  548.71  547.54  2221.28 2270.53 1867.64 1754.47 1835.8  1857.55 1698.28 1710.28 1343.77 1361.53 1346.43 1368.7  1062.15 1615.79 1596.66 1463.13 1026.97 2041.24 2017.84 2350.32 2285.62 528.48  783.66  540.06  1951.37 1412.34 1794.76 2105.44 2283.78 1066.83 1311.76 1598.31
4       1284.86 191.08  417.4   0.0     180.89  324.65  346.54  352.3   191.27  331.02  200.9   210.95  260.17  1928.79 1991.74 2118.32 2108.42 1604.37 1701.82 1758.82 1532.0  1376.63 2125.34 1062.87 879.06  1708.85 172.89  505.27  1762.38 1582.88 1606.0  1567.53 1621.32 1595.13 1584.07 1606.41 868.74  692.26  565.86  189.72  189.72  241.07  241.07  522.35  516.12  516.12  1624.15 1706.37 120.14  91.42   438.55  414.29  66.55   90.9    63.84   41.96   389.69  370.35  19.91   964.94  1907.83 1957.08 1521.92 1357.78 1439.11 1460.86 1250.71 1262.71 919.1   977.88  874.92  897.19  590.64  1270.07 1250.94 1079.48 555.46  1710.05 1686.65 2036.85 1972.17 945.88  470.21  232.19  1567.28 1028.69 1481.31 1759.72 1970.33 454.18  998.31  1284.86
5       1171.49 77.71   236.51  101.98  0.0     143.76  165.65  171.41  10.38   150.13  20.01   30.05   146.8   1847.69 1910.64 2037.18 2027.24 1523.34 1620.72 1677.72 1497.16 1333.9  2011.97 1150.76 983.69  1595.48 274.87  412.64  1649.01 1469.51 1492.63 1454.16 1507.95 1481.76 1470.7  1493.04 755.37  578.89  452.49  291.7   291.7   343.05  343.05  429.72  423.44  423.44  1510.78 1593.0  222.12  193.4   325.18  300.97  168.53  192.88  165.82  143.94  276.32  256.98  121.88  784.05  1794.46 1843.71 1440.82 1327.65 1408.98 1430.73 1271.46 1283.46 916.95  934.71  987.87  1010.14 688.14  1188.97 1169.84 1036.31 652.96  1614.42 1591.02 1923.55 1858.76 764.99  356.84  113.24  1524.55 985.52  1367.94 1678.62 1856.96 556.12  884.94  1171.49
6       1297.23 203.45  180.8   227.72  188.66  0.0     64.43   70.19   136.12  6.37    145.65  155.8   272.54  1973.43 2036.38 2162.96 2153.06 1649.08 1746.46 1803.46 1622.9  1459.64 2137.71 1276.5  1109.38 1721.2  400.61  538.38  1774.75 1595.25 1618.3  1579.9  1633.69 1607.5  1596.44 1618.78 881.11  704.63  578.23  417.44  417.44  468.79  468.79  555.44  549.23  549.23  1636.52 1718.74 347.86  319.14  450.92  426.71  294.27  318.62  291.56  269.68  402.06  382.72  247.63  728.4   1920.2  1969.45 1566.56 1453.39 1534.72 1556.47 1397.2  1409.2  1042.69 1060.45 1113.61 1135.88 813.88  1314.71 1295.58 1162.05 778.7   1740.16 1716.76 2049.21 1984.54 709.34  482.58  238.98  1650.29 1111.26 1493.68 1804.36 1982.7  681.9   1010.68 1297.23
7       1322.25 228.47  205.88  252.74  213.68  24.96   0.0     5.76    161.14  31.39   170.77  180.82  297.56  1998.45 2061.4  2187.98 2178.08 1674.1  1771.48 1828.48 1647.92 1484.66 2162.73 1301.44 1134.45 1746.24 425.63  563.4   1799.77 1620.27 1643.39 1604.92 1658.67 1632.52 1621.38 1643.8  906.13  729.65  603.16  442.46  442.46  493.81  493.81  580.48  574.25  574.25  1661.54 1743.66 372.88  344.16  475.94  451.73  319.29  343.64  316.53  294.7   427.02  407.67  272.64  753.42  1945.22 1994.47 1591.58 1478.41 1559.74 1581.44 1422.22 1434.13 1067.71 1085.47 1138.63 1160.9  838.81  1339.73 1320.6  1187.07 803.72  1765.18 1741.78 2074.23 2009.56 734.36  507.6   263.92  1675.31 1136.28 1518.7  1829.38 2007.72 706.92  1035.7  1322.25
8       1316.49 222.62  200.12  246.98  207.92  19.26   27.12   0.0     155.38  25.63   165.01  175.06  291.8   1992.69 2055.64 2182.22 2172.32 1668.34 1765.72 1822.72 1642.16 1478.9  2156.97 1295.76 1128.69 1740.39 419.87  557.64  1793.91 1614.51 1637.63 1599.16 1652.86 1626.71 1615.7  1637.97 900.37  723.89  597.49  436.7   436.7   488.01  488.01  574.72  568.49  568.49  1655.78 1738.0  367.09  338.4   470.18  445.97  313.53  337.88  310.78  288.94  421.32  401.89  266.89  747.66  1939.46 1988.71 1585.82 1472.65 1553.98 1575.68 1416.46 1428.37 1061.95 1079.71 1132.87 1155.14 833.14  1333.97 1314.84 1181.31 797.96  1759.42 1736.02 2068.55 2003.8  728.6   501.84  258.24  1669.55 1130.52 1512.94 1823.62 2001.96 701.16  1029.94 1316.49
9       1161.11 67.33   289.05  91.6    52.45   196.26  218.19  223.95  0.0     202.67  9.63    19.68   136.42  1837.31 1900.26 2026.84 2016.94 1512.96 1610.34 1667.27 1486.78 1323.52 2001.59 1140.38 973.31  1585.0  264.39  402.26  1638.63 1459.09 1482.25 1443.78 1497.57 1471.38 1460.32 1482.65 744.99  568.51  442.11  281.32  281.32  332.67  332.67  419.34  413.11  413.11  1500.4  1582.62 211.74  183.02  314.8   290.59  158.15  182.5   155.44  133.56  265.94  246.6   111.51  836.58  1784.08 1833.33 1430.44 1317.27 1398.6  1420.35 1261.08 1273.08 906.57  924.33  977.49  999.76  677.76  1178.59 1159.46 1025.93 642.58  1604.04 1580.64 1913.17 1848.42 817.53  346.41  102.86  1514.17 975.14  1357.56 1668.24 1846.58 545.78  874.56  1161.11
10      1290.86 197.08  174.49  221.35  182.28  36.17   58.06   63.82   129.75  0.0     139.38  149.34  266.17  1967.06 2030.01 2156.59 2146.69 1642.71 1740.09 1797.0  1616.53 1453.27 2131.34 1270.13 1103.06 1714.85 394.24  532.01  1768.3  1588.88 1611.91 1573.53 1627.32 1601.13 1590.07 1612.34 874.74  698.2   571.86  411.07  411.07  462.33  462.33  549.09  542.86  542.86  1630.15 1712.37 341.49  312.77  444.55  420.34  287.9   312.25  285.19  263.31  395.69  376.35  241.26  722.02  1913.83 1963.08 1560.19 1447.02 1528.35 1550.08 1390.83 1402.74 1036.32 1054.08 1107.24 1129.51 807.51  1308.34 1289.21 1155.68 772.33  1733.79 1710.39 2042.92 1978.17 702.89  476.13  232.61  1643.92 1104.89 1487.31 1797.99 1976.33 675.5   1004.31 1290.86
