        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      93      94      95      96      97      98      99      100     101     102     103     104     105     106     107     108     109     110     111     112
1       0.0     945.7   525.97  1167.41 1191.92 316.72  1053.23 615.09  944.86  452.88  957.38  617.63  979.57  865.86  1018.96 515.19  431.13  1138.69 152.29  998.36  1146.27 1318.23 530.1   524.51  1099.76 1113.82 1807.14 335.85  411.83  503.91  906.33  970.1   430.34  814.53  492.85  475.04  1047.27 625.95  998.0   480.78  589.24  649.86  725.91  1033.55 1006.93 611.89  966.28  1213.97 816.61  567.93  1173.3  476.31  557.56  636.57  418.34  994.7   1067.18 349.8   1070.16 1188.82 671.16  611.95  1084.21 493.63  886.79  711.94  233.65  998.36  1081.01 616.05  950.71  443.29  881.91  491.62  585.31  604.69  492.12  105.46  979.31  792.45  292.2   810.13  1111.11 1191.92 1194.58 613.17  620.81  563.04  548.77  704.16  1023.17 654.94  1175.05 767.99  1175.05 746.93  1071.37 977.18  747.9   1089.23 1041.79 1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       830.9   0.0     969.47  1998.41 2022.92 1147.72 1884.23 750.46  646.68  1097.13 376.33  602.72  1810.57 365.93  1849.96 557.27  1075.38 1969.69 983.21  1829.36 1977.27 2149.23 572.18  1166.6  1930.76 1944.82 2638.22 1166.85 1242.83 545.99  1737.33 1801.1  1261.34 314.6   534.93  852.84  1878.27 1456.95 1829.0  1311.78 836.39  897.01  1556.93 1864.55 1837.93 1253.98 1797.28 2044.97 316.68  1090.31 2004.3  429.56  921.02  883.72  1249.34 1825.75 1898.18 994.05  1901.16 2019.82 303.14  1442.95 736.61  1324.63 492.3   832.09  797.91  1829.36 1912.01 1447.05 1781.7  1274.29 583.73  491.63  1416.31 1435.69 1323.12 936.46  398.26  1623.45 1123.24 186.36  1942.11 2022.92 2025.58 860.23  867.96  1394.04 992.27  822.14  1854.17 1018.4  2006.05 1598.99 2006.05 867.08  313.91  1808.18 262.84  1920.23 320.72  2619.16 1881.62 1899.06 1191.46 1282.07 954.43  914.43  96.07   2041.94 1267.66 830.9
3       616.22  993.42  0.0     1429.94 1337.44 509.32  1479.45 972.02  744.27  485.3   756.82  974.5   783.73  1222.73 1299.34 872.06  463.55  1453.86 584.53  1143.88 1251.04 1744.45 886.97  237.12  1245.28 1479.23 2233.44 528.45  557.35  860.78  1051.85 1349.06 403.82  1171.4  849.72  548.08  1473.49 771.47  1424.22 282.3   688.88  749.5   408.94  1459.77 1433.15 324.5   1392.5  1359.49 1173.48 120.84  1599.52 833.18  630.6   736.21  391.82  1324.09 1493.4  382.22  1215.68 1615.04 1028.03 757.47  883.65  919.85  1243.68 427.72  474.04  1143.88 1226.53 761.57  1379.66 219.29  681.35  848.53  730.83  750.15  637.64  721.68  778.75  937.97  718.46  1167.0  1477.18 1337.44 1620.8  712.81  720.45  708.56  22.8    502.11  1449.39 727.98  1320.57 913.51  1320.57 544.88  870.88  1403.33 1104.77 1515.39 841.23  2214.38 1476.84 1494.28 221.99  596.59  552.54  512.28  1089.49 1356.46 862.88  616.22
4       1268.26 2020.32 1471.13 0.0     122.22  1183.44 194.27  1689.77 1924.24 1393.36 1936.76 1692.23 811.56  1940.39 421.95  1589.76 1371.61 23.92   1090.32 365.89  473.13  459.35  1604.72 1469.7  275.49  49.29   948.34  1202.57 910.38  1578.53 487.96  373.09  1195.21 1889.15 1567.47 1454.42 100.3   991.79  380.28  1309.13 1595.22 1655.77 995.37  174.67  389.21  1557.08 348.56  105.39  1891.23 1396.28 314.42  1550.93 1536.94 1642.55 1183.21 397.71  120.21  1290.28 437.77  329.94  1745.78 977.79  2063.54 675.66  1961.43 1691.32 1308.27 365.89  448.62  866.61  353.75  1271.64 1861.29 1566.28 829.59  1011.98 851.6   1180.08 1958.69 523.14  852.14  1884.75 47.24   122.22  335.7   1619.15 1626.79 807.4   1493.96 1683.54 164.29  1634.32 173.57  1018.55 173.57  1726.31 2050.79 359.46  1822.52 142.26  2021.17 929.25  453.61  215.59  1499.78 961.19  1457.48 1692.22 1953.73 386.67  981.71  1268.26
5       1344.41 2090.02 1387.76 92.5    0       1100.1  286.85  1765.92 1840.9  1310.02 1853.42 1768.38 728.22  2016.63 438.09  1665.96 1288.27 116.42  1174.02 282.63  389.79  551.83  1680.87 1386.36 192.16  141.75  1040.84 1119.23 827.04  1654.68 404.62  487.81  1111.87 1965.3  1643.62 1371.08 192.8   908.45  472.78  1225.79 1511.88 1572.5  911.97  267.17  481.71  1473.74 441.06  22.05   1967.38 1312.94 406.92  1627.08 1453.6  1559.21 1099.87 462.84  212.71  1206.94 354.43  422.44  1821.93 894.45  1980.25 768.16  2037.58 1607.98 1295.67 282.63  365.28  783.27  518.41  1188.3  1777.95 1642.43 746.35  928.64  768.26  1256.23 1875.35 439.8   988.18  1960.9  139.74  0       428.13  1535.81 1543.45 724.08  1410.62 1600.2  256.79  1550.98 90.23   935.21  90.23   1642.97 1967.48 451.87  1898.67 234.76  1937.83 1021.78 546.11  308.09  1416.44 877.85  1374.17 1608.88 2029.88 303.34  1117.75 1344.41
6       337.67  989.92  287.72  1336.05 1243.55 0.0     1347.01 772.21  740.76  209.92  753.32  774.69  1031.2  1022.92 1205.45 672.25  188.17  1359.97 452.09  1049.99 1157.15 1612.01 687.16  286.26  1151.39 1385.34 2101.0  19.13   463.46  660.97  957.96  1255.17 480.72  971.59  649.91  270.92  1341.05 677.58  1291.78 531.08  411.78  472.4   777.56  1327.33 1300.71 373.64  1260.06 1265.6  973.67  408.56  1467.08 633.37  353.5   459.11  468.67  1230.2  1360.96 106.84  1121.77 1482.6  828.22  663.58  880.15  787.41  1043.87 507.88  195.57  1049.99 1132.64 667.68  1285.77 493.67  677.85  648.72  636.94  656.3   543.75  443.21  775.25  844.08  586.02  967.19  1383.29 1243.55 1488.36 435.71  443.35  614.67  310.52  500.1   1316.95 450.88  1226.68 819.62  1226.68 542.87  867.31  1270.96 904.96  1382.99 837.73  2081.94 1344.4  1361.84 509.71  502.6   274.07  508.78  1036.17 1262.57 730.44  337.67
7       1141.36 1893.49 1473.71 192.06  261.64  1139.78 0.0     1562.94 1880.58 1400.67 1893.1  1565.42 953.58  1813.65 295.12  1462.98 1378.92 163.34  963.49  469.51  422.43  327.92  1477.89 1472.3  414.92  138.47  816.91  1158.91 904.65  1451.7  622.9   246.26  1253.4  1762.32 1440.64 1410.76 71.92   1007.51 253.45  1303.84 1537.03 1597.65 1120.7  43.24   262.38  1559.68 221.73  244.81  1764.4  1390.99 182.99  1424.1  1493.28 1584.36 1241.4  270.91  91.83   1297.59 382.58  198.51  1618.95 993.51  2019.93 548.83  1834.6  1647.66 1181.44 469.51  393.39  1001.46 226.92  1266.35 1817.63 1439.45 980.08  1006.25 886.89  1053.25 1915.03 658.08  725.31  1757.92 135.76  261.64  204.27  1560.96 1568.6  957.81  1496.49 1639.88 32.86   1590.66 312.99  1153.49 312.99  1682.59 2007.12 232.63  1695.69 113.88  1977.51 797.85  326.78  83.18   1494.49 955.46  1337.88 1648.56 1826.9  526.1   854.88  1141.36
8       443.52  683.25  780.64  1610.99 1635.5  760.3   1496.81 0.0     920.9   709.71  902.27  355.18  1423.15 603.41  1462.54 252.71  687.96  1582.27 595.78  1441.94 1589.85 1761.81 267.65  779.18  1543.34 1557.4  2250.8  779.43  855.41  241.46  1349.91 1413.68 873.92  552.08  230.4   465.49  1490.85 1069.53 1441.58 924.36  448.97  509.59  1169.51 1477.13 1450.51 866.56  1409.86 1657.55 554.16  901.48  1616.88 213.86  533.6   496.3   861.92  1438.33 1510.76 606.63  1513.74 1632.4  408.71  1055.53 1060.25 937.21  624.3   687.93  410.57  1441.94 1524.59 1059.63 1394.34 886.87  857.95  229.21  1028.89 1048.27 935.6   549.04  924.2   1236.03 735.8   547.68  1554.69 1635.5  1638.16 472.9   480.54  1006.62 803.44  680.2   1466.75 630.97  1618.63 1211.57 1618.63 722.97  839.85  1420.76 485.45  1532.81 846.65  2231.71 1494.2  1511.64 1002.63 894.65  567.01  688.88  616.66  1654.52 880.24  443.52
9       969.81  503.88  629.52  2000.07 1907.57 998.96  2011.03 1127.43 0.0     873.94  267.28  1106.6  1695.16 845.31  1869.47 1061.15 852.19  2023.99 1116.11 1714    1821.17 2276.03 1076.06 643.64  1815.4  2049.36 2765.02 1018.09 1127.48 1049.87 1621.98 1919.19 1144.68 793.98  1038.75 629.72  2005.07 1341.6  1955.8  1195.18 767.0   827.62  1441.58 1991.35 1964.73 736.46  1924.08 1929.62 796.06  750.36  2131.1  933.44  541.23  814.33  1132.67 1894.22 2024.98 770.84  1785.81 2146.62 807.02  1327.6  396.71  1451.43 966.47  492.12  827.63  1714    1796.66 1331.62 1949.79 1157.69 81.6    995.51  1300.96 1320.34 1207.77 1075.27 289.21  1508.1  1250.04 665.74  2047.31 1907.57 2152.38 790.93  798.57  1278.69 652.32  482.12  1980.97 653.2   1890.66 1483.64 1890.66 527.13  381.25  1934.98 742.22  2047.03 351.69  2745.95 2008.42 2025.86 851.51  1166.65 906.13  574.48  599.92  1926.59 1394.43 969.81
10      412.62  1115.0  412.8   1126.19 1033.69 125.08  1137.15 834.13  865.88  0       878.4   836.61  821.34  1084.84 995.59  734.17  313.25  1150.11 242.23  840.13  947.29  1402.15 749.08  411.34  941.53  1175.48 1891.14 144.21  253.6   722.89  748.1   1045.31 270.86  1033.51 711.83  396.06  1131.19 467.72  1081.92 321.3   536.86  597.48  567.7   1117.47 1090.85 498.72  1050.2  1055.74 1035.49 408.45  1257.22 695.29  478.58  584.19  258.86  1020.34 1151.1  231.92  911.93  1272.74 890.14  453.65  1005.2  577.55  1105.79 632.96  320.65  840.13  922.78  457.82  1075.91 283.81  802.93  710.64  427.08  446.46  333.89  324.44  900.33  634.22  376.09  1029.11 1173.43 1033.69 1278.5  560.79  568.43  404.81  435.6   625.18  1107.09 575.96  1016.82 609.76  1016.82 667.95  992.41  1061.1  966.88  1173.15 962.81  1872.07 1134.54 1151.98 511.95  292.84  399.15  633.86  1098.09 1052.71 520.58  412.62
