        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22
1       0.0     233.65  880.95  998.36  475.04  636.57  1213.97 335.85  787.75  452.88  1081.01 1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       215.52  0.0     837.12  1059.3  241.39  429.52  1274.91 363.38  743.92  219.23  1141.95 2003.68 1266.14 1283.58 514.31  512.01  156.44  479.19  835.28  1271.87 652.18  215.52
3       895.09  862.08  0.0     1893.45 916.91  947.81  2109.06 1230.94 209.88  1161.22 1976.1  2683.25 1945.71 1963.15 1454.14 1346.16 1018.45 1140.31 455.04  2106.03 1331.75 895.09
4       1169.34 1120.6  1856.65 0       1196.01 1384.14 333.39  944.16  1763.45 1134.95 82.65   1210.88 444.4   490.78  1241.37 702.78  1199.1  1433.81 1854.81 527.38  1011.69 1169.34
5       340.11  197.93  961.71  1084.31 0.0     443.26  1299.92 388.39  868.51  244.18  1166.96 2116.26 1378.72 1396.16 537.16  537.02  276.43  492.93  959.87  1296.89 764.76  340.11
6       543.71  428.92  851.03  1315.3  230.94  0.0     1530.91 619.38  757.83  475.23  1397.95 2331.89 1594.35 1611.79 768.15  768.01  507.42  454.36  849.19  1527.88 980.39  543.71
7       1322.36 1273.62 2009.67 260.58  1349.03 1537.16 0.0     1097.18 1916.47 1287.97 343.23  1038.61 704.98  324.92  1394.39 855.8   1352.12 1586.83 2007.83 281.29  1095.7  1322.36
8       318.56  176.39  1018.88 1030.86 251.85  439.98  1246.44 0.0     925.68  190.79  1113.51 2062.81 1325.27 1342.71 490.58  483.57  254.94  489.65  1016.99 1243.44 711.31  318.56
9       685.11  652.18  173.28  1683.47 707.01  737.91  1899.16 1021.04 0.0     951.32  1766.2  2473.35 1735.81 1753.25 1244.24 1136.26 808.62  930.49  245.14  1896.13 1121.85 685.11
10      412.62  320.65  1099.93 840.13  396.06  584.19  1055.74 144.21  1006.73 0       922.78  1872.07 1134.54 1151.98 511.95  292.84  399.15  633.86  1098.09 1052.71 520.58  412.62
11      1215.59 1255.6  1902.9  153.92  1273.77 1461.9  411.15  1021.92 1809.7  1212.71 0       1128.23 361.75  408.13  1319.13 780.54  1276.86 1511.57 1901.06 605.13  928.98  1215.59
12      2171.34 2211.4  2858.6  1499.47 2440.72 2614.32 1274.77 2188.87 2765.5  2430.63 1423.39 0       1356.74 1113.06 2524.45 1985.42 2367.84 2678.52 2856.86 1637.92 1884.84 2171.34
13      1207.93 1247.94 1895.24 250.82  1370.71 1558.8  508.05  1118.82 1802.04 1309.61 189.56  1120.54 0       400.47  1416.03 877.44  1404.38 1608.47 1893.43 702.04  921.43  1207.93
14      1217.4  1257.44 1904.74 545.51  1486.76 1660.36 327.27  1234.91 1811.54 1476.67 469.43  889.54  402.78  0       1570.49 1031.46 1413.88 1724.49 1902.9  608.56  930.88  1217.4
15      708.69  566.48  1330.29 1151.92 640.55  828.68  1367.56 536.52  1237.09 577.77  1234.6  2222.45 1484.91 1502.35 0       604.66  645.01  607.17  1184.29 1364.53 870.95  708.69
16      561.45  512.71  1248.76 633.82  588.12  776.35  849.51  336.19  1155.56 527.07  716.47  1703.81 966.27  983.71  633.5   0       591.21  825.92  1246.97 846.4   446.68  561.45
17      346.09  203.95  967.73  1134.77 316.91  505.04  1350.43 438.9   874.53  294.75  1217.47 2134.29 1396.75 1414.19 589.83  587.53  0       554.71  965.89  1347.4  782.79  346.09
18      1078.05 935.87  971.24  1822.25 737.96  922.57  2037.86 1126.33 878.01  982.18  1904.9  2854.2  2116.58 2134.1  959.75  1274.96 1014.37 0       710.79  2034.83 1502.7  1078.05
19      780.51  747.59  330.62  1778.96 802.43  833.32  1994.57 1116.45 237.42  1046.73 1861.61 2568.75 1831.22 1848.66 1156.91 1231.67 904.03  879.88  0       1991.54 1217.26 780.51
20      1222.87 1174.13 1910.18 358.13  1249.6  1437.67 174.54  997.7   1816.98 1188.48 440.8   1314.11 802.53  460.58  1294.9  756.31  1252.63 1487.38 1908.34 0       996.21  1222.87
21      491.64  531.67  1178.95 839.93  760.97  934.66  1055.61 509.16  1085.73 750.88  896.03  1566.92 829.38  846.82  844.7   402.19  688.09  998.77  1177.11 1052.55 0       491.64
22      0.0     233.65  880.95  998.36  475.04  636.57  1213.97 335.85  787.75  452.88  1081.01 1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
