        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32
1       0.0     563.04  886.79  780.65  1067.18 1175.05 1188.82 443.5   1043.18 443.29  1047.27 1087.22 880.95  1081.01 452.88  611.89  515.19  1138.17 480.78  994.7   476.31  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1129.35 0       1822.52 732.81  925.22  612.01  1046.86 973.45  901.22  973.24  905.31  524.2   1816.66 517.97  1094.96 1258.68 1450.9  745.44  1010.73 615.53  1412.02 1628.77 879.65  926.1   1201.38 662.79  1159.11 1393.82 1814.82 647.89  902.69  1129.35
3       767.26  1330.39 0.0     1548.0  1834.53 1942.4  1956.17 1210.85 1810.53 1210.64 1814.62 1854.54 370.55  1848.36 1033.48 1190.33 493.62  1905.52 1248.13 1762.1  365.84  2555.51 1817.97 1835.41 1326.4  1218.42 890.78  1012.58 429.34  1978.21 1204.01 767.26
4       899.72  294.83  1592.89 0.0     1209.21 906.85  1330.85 743.82  1185.12 743.61  1189.3  819.04  1587.03 812.81  865.33  1029.05 1221.27 1040.28 781.1   910.37  1182.39 1923.61 1192.65 1210.04 971.71  433.16  929.48  1164.19 1585.19 942.74  673.06  899.72
5       1264.95 854.92  1958.12 1078.81 0.0     221.15  326.63  1319.44 180.99  1319.23 96.99   502.44  1952.26 496.21  1440.95 1604.67 1586.5  70.99   1356.72 394.41  1547.62 925.97  450.3   212.28  1547.37 1008.78 1461.4  1739.81 1950.42 434.27  978.4   1264.95
6       1318.5  698.17  2011.64 921.96  229.58  0       439.31  1162.6  293.67  1162.39 209.67  345.6   2005.81 339.37  1284.11 1447.83 1640.05 133.43  1199.88 436.93  1601.17 1038.65 562.98  324.9   1390.53 851.94  1348.26 1582.97 2003.97 277.43  1091.84 1318.5
7       1322.25 1138.63 2015.42 1346.97 272.64  493.81  0.0     1447.38 170.77  1447.17 252.74  580.48  2009.56 574.25  1581.44 1740.5  1643.8  343.64  1484.66 451.73  1604.92 734.36  507.6   263.92  1675.31 1136.28 1518.7  1829.38 2007.72 706.92  1035.7  1322.25
8       603.65  613     1231.11 830.61  1397.84 1224.98 1519.48 0.0     1373.84 123.73  1377.93 1137.2  1225.25 1130.97 472.73  314.35  859.48  1358.44 186.74  1228.53 820.61  2118.82 1381.28 1398.72 227.93  500.98  539.97  502.11  1079.34 1260.84 767.32  603.65
9       1151.57 967.95  1844.74 1176.29 101.97  323.08  208.65  1276.7  0.0     1276.49 82.06   409.8   1838.88 403.5   1410.76 1569.82 1473.06 172.96  1313.98 281.05  1434.24 807.99  336.92  93.24   1504.58 965.6   1348.02 1658.7  1837.04 536.24  865.02  1151.57
10      880.97  434.17  1574.14 656.23  1347.86 1046.11 1469.5  372.11  1323.86 0.0     1327.95 958.37  1568.28 952.14  845.24  686.46  1202.52 1179.61 408.35  1049.7  1163.64 1841.05 1331.3  1348.74 600.04  571.81  909.44  874.15  1566.44 1082.07 811.71  880.97
11      1284.86 874.92  1978.03 1098.71 19.91   241.07  346.54  1339.35 200.9   1339.14 0.0     522.35  1972.17 516.12  1460.86 1624.58 1606.41 90.9    1376.63 414.29  1567.53 945.88  470.21  232.19  1567.28 1028.69 1481.31 1759.72 1970.33 454.18  998.31  1284.86
12      1209.36 620.52  1902.53 844.33  401.02  366     522.66  1084.97 376.98  1084.76 381.11  0       1896.67 71.52   1206.48 1370.2  1530.91 471.95  1122.25 91.33   1492.03 1122    355.52  401.9   1312.9  774.31  1270.63 1505.34 1894.83 598.91  922.81  1209.36
13      895.09  1458.13 493.84  1675.74 1962.27 2070.14 2083.87 1338.59 1938.27 1338.38 1942.36 1982.28 0.0     1976.1  1161.22 1318.07 621.36  2033.26 1375.87 1889.84 493.65  2683.25 1945.71 1963.15 1454.14 1346.16 1018.45 1140.31 455.04  2106.03 1331.75 895.09
14      1215.59 626.77  1908.75 850.56  407.25  372.23  528.89  1091.2  383.25  1090.99 387.34  6.15    1902.9  0       1212.71 1376.43 1537.09 478.24  1128.48 97.56   1498.26 1128.23 361.75  408.13  1319.13 780.54  1276.86 1511.57 1901.06 605.13  928.98  1215.59
15      412.62  404.81  1105.79 622.42  1151.1  1016.82 1272.74 284.02  1127.1  283.81  1131.19 929.01  1099.93 922.78  0       498.72  734.17  1150.25 321.3   1020.34 695.29  1872.07 1134.54 1151.98 511.95  292.84  399.15  633.86  1098.09 1052.71 520.58  412.62
16      580.89  889.77  1010.17 1107.38 1636.09 1501.73 1757.7  768.98  1612.0  768.77  1616.13 1414.05 1004.31 1407.74 484.93  0.0     638.55  1635.21 806.26  1505.3  599.67  2357.04 1619.54 1636.94 544.76  777.8   517.14  187.78  764.99  1537.67 1005.54 580.89
17      383.59  946.69  491.84  1164.3  1450.83 1558.7  1572.47 827.15  1426.83 826.94  1430.92 1470.84 485.98  1464.66 649.78  806.63  0       1521.82 864.43  1378.4  81.34   2171.81 1434.27 1451.71 942.7   834.74  507.08  628.95  484.14  1594.59 820.25  383.59
18      1244.22 833.62  1937.39 1057.41 96.17   199.77  305.9   1298.05 160.26  1297.84 76.26   502.45  1931.53 496.22  1419.56 1583.28 1565.77 0.0     1335.33 373.7   1526.89 905.24  429.57  191.55  1525.98 987.39  1440.67 1718.42 1929.69 412.88  957.58  1244.22
