        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52
1       0.0     1113.82 1061.54 979.57  1070.16 548.77  443.5   1081.01 1173.3  105.46  998.0   335.85  493.63  1023.17 1111.11 956.31  604.69  349.8   865.86  615.09  519.31  979.31  1005.59 1018.96 480.78  476.31  880.95  563.04  515.19  1259.68 1071.37 492.85  620.81  475.04  725.91  1047.27 418.34  970.1   957.38  1166.93 625.95  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1268.55 0.0     2041.87 812.51  438.72  1494.9  1272.8  449.57  314.71  1180.37 380.57  1203.52 675.91  164.58  47.53   243.86  1012.93 1291.23 1940.77 1690.06 1465.43 1959.64 374.15  422.24  1310.08 1551.22 1955.86 808.37  1590.1  401.08  2051.77 1567.76 1627.74 1455.37 996.32  100.59  1184.16 373.38  1937.71 308.34  992.74  929.57  453.82  215.88  1500.73 962.14  1458.46 1693.09 1954.02 387.63  982     1268.55
3       962.27  2076.16 0.0     1943.32 2033.91 900.42  1406.0  2044.76 2135.64 1067.8  1960.34 1266.19 1455.97 1985.51 2073.45 1918.65 1568.44 1018.96 473.79  881.76  930.68  330.88  1969.34 1981.3  1443.28 560.95  488.96  1526.79 688.61  2222.02 280.74  666.27  999.3   877.82  1689.68 2009.61 1380.81 1932.34 308.95  2129.27 1589.7  2750.5  2012.96 2030.4  1099.61 1414.82 1085.77 822.58  227.36  2174.69 1398.96 962.27
4       812.66  979.13  1425.83 0       715.58  878.87  335.52  726.43  1228.27 724.48  1052.97 587.48  548.6   1078.14 977.08  1011.28 396.89  675.19  1484.88 1234.17 849.41  1343.6  651.01  799.24  371.66  1095.33 1499.97 208.46  1134.21 1314.65 1435.73 1111.87 1011.7  839.33  116.84  1102.24 302.58  848.96  1321.67 1221.9  376.7   1837.23 1105.57 1123.03 563.45  346.1   842.34  1077.13 1498.13 856.36  586     812.66
5       1226.41 464.77  1871.15 648.92  0.0     1324.19 1102.08 10.88   524.25  1138.29 353.21  1032.8  633.87  374.12  462.06  307.26  842.21  1120.51 1898.61 1647.98 1294.73 1788.92 172.03  83.69   1139.36 1509.14 1913.78 637.65  1548.02 610.53  1881.05 1525.68 1457.02 1284.65 825.57  398.22  1013.44 133.41  1766.99 517.88  822.02  1139.11 372.63  419.01  1330.01 791.42  1287.74 1522.45 1911.94 616.02  939.92  1226.41
6       593.42  1456.43 838.18  760.93  1192.88 0.0     214.94  1203.73 1576.72 698.88  1401.42 505.65  897.05  1426.59 1454.38 1359.73 727.41  359.42  1199.93 949.22  245.0   755.95  1128.31 1276.54 259.5   810.38  1215.02 685.76  849.26  1663.03 848.01  826.92  697.65  525.28  386.14  1450.69 369.02  1326.26 734.02  1570.35 748.67  2191.58 1454.04 1471.48 199.19  573.79  529.74  489.48  1066.69 1333.63 840.03  593.42
7       603.65  1383.67 850.83  688.13  1120.12 250.66  0.0     1130.97 1503.96 571.18  1328.66 432.89  824.29  1353.83 1381.62 1286.97 654.65  369.65  1210.09 959.45  255.23  768.6   1055.55 1203.78 186.74  820.61  1225.25 613     859.48  1590.34 860.73  837.15  707.88  535.49  313.38  1377.93 296.26  1253.5  746.67  1497.55 675.91  2118.82 1381.28 1398.72 227.93  500.98  539.97  502.11  1079.34 1260.84 767.32  603.65
8       1215.59 453.89  1860.18 638.04  66.99   1313.31 1091.2  0       513.37  1127.41 342.33  1021.92 622.99  363.24  451.18  296.38  831.33  1109.63 1887.79 1637.1  1283.85 1778.04 161.15  72.72   1128.48 1498.26 1902.9  626.77  1537.09 599.71  1870.17 1514.8  1446.14 1273.77 814.72  387.34  1002.56 122.53  1756.11 507.0   811.14  1128.23 361.75  408.13  1319.13 780.54  1276.86 1511.57 1901.06 605.13  928.98  1215.59
9       1290.86 287.9   2146.69 1103.06 532.01  1645.99 1415.99 542.86  0.0     1202.68 402.88  1308.34 698.2   182.28  285.19  266.17  1155.68 1447.02 1963.08 1712.37 1616.53 2064.46 626.17  444.55  1453.27 1573.53 1978.17 1107.24 1612.34 174.49  2156.59 1590.07 1718.03 1560.19 1270.13 221.35  1390.83 395.69  2042.53 36.17   1156.94 702.89  476.13  232.61  1643.92 1104.89 1487.31 1797.99 1976.33 675.5   1004.31 1290.86
10      88.18   1202.0  956.08  1067.75 1158.34 443.31  531.68  1169.19 1261.48 0.0     1086.18 424.03  581.81  1111.35 1199.29 1044.49 692.87  244.34  760.4   509.69  413.85  873.85  1093.77 1107.14 568.96  370.85  775.49  651.22  409.73  1347.86 965.98  387.34  515.35  369.58  814.11  1135.45 506.52  1058.28 851.92  1255.11 714.13  1876.34 1138.8  1156.24 642.5   539.25  284.63  607.38  773.65  1299.12 524.84  88.18
