        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17
1       0.0     563.04  1023.17 557.56  492.12  613.17  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1129.35 0       881.21  1238.54 553.2   1320.75 1628.77 879.65  926.1   1201.38 662.79  1159.11 1393.82 1814.82 647.89  902.69  1129.35
3       1171.49 987.87  0.0     1523.34 916.95  1591.02 764.99  356.84  113.24  1524.55 985.52  1367.94 1678.62 1856.96 556.12  884.94  1171.49
4       654.15  963.03  1665.31 0.0     892.06  475.27  2430.3  1692.76 1710.2  535.85  851.06  590.47  177.38  754.59  1610.93 1078.8  654.15
5       653.68  70.92   919.18  762.94  0       845.15  1699.69 950.64  964.12  725.69  187.19  683.51  918.22  1339.22 718.82  427.02  653.68
6       542.56  878.81  1565.73 297.91  807.89  0.0     2330.72 1593.18 1610.62 766.98  766.84  506.25  453.23  848.02  1526.71 979.22  542.56
7       2171.34 1917.52 1062.82 2523.24 1916.85 2590.92 0       1356.74 1113.06 2524.45 1985.42 2367.84 2678.52 2856.86 1637.92 1884.84 2171.34
8       1207.93 723.67  355.58  1453.15 767.85  1535.4  1120.54 0       400.47  1416.03 877.44  1404.38 1608.47 1893.43 702.04  921.43  1207.93
9       1217.4  1033.81 124.55  1569.28 962.89  1636.96 889.54  402.78  0       1570.49 1031.46 1413.88 1724.49 1902.9  608.56  930.88  1217.4
10      708.69  716.63  1457.46 723.07  645.71  805.28  2222.45 1484.91 1502.35 0       604.66  645.01  607.17  1184.29 1364.53 870.95  708.69
11      561.45  198.5   938.82  670.64  127.52  752.85  1703.81 966.27  983.71  633.5   0       591.21  825.92  1246.97 846.4   446.68  561.45
12      346.09  699.5   1369.3  399.43  628.58  481.64  2134.29 1396.75 1414.19 589.83  587.53  0       554.71  965.89  1347.4  782.79  346.09
13      1078.05 1386.83 2089.21 649.47  1316.01 899.17  2854.2  2116.58 2134.1  959.75  1274.96 1014.37 0       710.79  2034.83 1502.7  1078.05
14      780.51  1343.64 1803.77 870.62  1272.72 809.92  2568.75 1831.22 1848.66 1156.91 1231.67 904.03  879.88  0       1991.54 1217.26 780.51
15      1222.87 602.54  409.28  1332.06 646.72  1414.27 1314.11 802.53  460.58  1294.9  756.31  1252.63 1487.38 1908.34 0       996.21  1222.87
16      491.64  404.61  801.93  843.49  333.75  911.17  1566.92 829.38  846.82  844.7   402.19  688.09  998.77  1177.11 1052.55 0       491.64
17      0.0     563.04  1023.17 557.56  492.12  613.17  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
