        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72
1       0.0     1175.05 886.79  1191.92 814.53  1081.01 1099.76 589.24  979.31  1018.96 532.93  945.7   1213.97 292.2   1081.01 1067.18 503.91  787.75  443.5   1166.93 1259.68 1318.23 671.16  636.57  1194.58 979.57  519.31  1041.79 548.77  1146.27 567.93  1084.21 418.34  998.36  1167.41 725.91  616.05  1034.12 491.62  654.94  613.17  530.1   430.34  1173.3  950.71  1006.93 1113.82 475.04  977.18  1043.18 966.28  881.91  493.63  906.33  615.09  865.86  994.7   620.81  1070.16 411.83  956.31  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1318.5  0       2011.64 16.87   1939.39 339.37  166.25  1485.9  1849.44 412.18  1657.79 2064.11 38.92   962.27  339.37  229.58  1628.77 1912.61 1162.6  417.42  510.17  568.72  1796.02 1533.21 445.07  702.31  1355.25 1911.92 1384.66 363.88  1287.03 1954.34 1073.96 256.71  109.37  886.12  757.33  2110.02 1616.52 1525.05 1509.9  1654.96 1085.96 423.79  492.5   498.58  158.66  1345.17 468.83  293.67  457.93  1752.04 785.03  378.71  1740.01 1990.72 436.93  1517.54 328.52  801.13  352.94  1038.65 562.98  324.9   1390.53 851.94  1348.26 1582.97 2003.97 277.43  1091.84 1318.5
3       767.26  1942.4  0.0     1959.27 304.13  1848.36 1867.11 772.64  702.84  1786.31 604.59  490.23  1981.32 1059.59 1848.36 1834.53 482.34  277.3   1210.85 1934.28 2027.03 2085.56 244.38  820.07  1961.93 1746.92 1097.65 659.34  1127.21 1913.54 1225.25 1016.77 1185.69 1765.71 1934.76 1493.28 1383.4  550.31  427.98  954.75  796.67  508.53  1197.69 1940.65 1718.11 1774.28 1881.17 789.18  1744.53 1810.53 1733.6  863.84  1260.98 1673.68 686.81  355.44  1762.1  804.31  1837.51 1179.18 1723.66 2555.51 1817.97 1835.41 1326.4  1218.42 890.78  1012.58 429.34  1978.21 1204.01 767.26
4       1344.41 90.23   2037.58 0       1965.3  365.28  192.16  1511.88 1875.35 438.09  1683.7  2090.02 22.05   988.18  365.28  212.71  1654.68 1938.52 1188.51 400.55  493.3   551.83  1821.93 1559.21 428.13  728.22  1381.16 1937.83 1410.62 389.79  1312.94 1980.25 1099.87 282.63  92.5    911.97  783.27  2135.93 1642.43 1550.98 1535.81 1680.87 1111.87 406.92  518.41  481.71  141.75  1371.08 451.87  276.76  441.06  1777.95 768.16  404.62  1765.92 2016.63 462.84  1543.45 354.43  827.04  336.07  1021.78 546.11  308.09  1416.44 877.85  1374.17 1608.88 2029.88 303.34  1117.75 1344.41
5       715.96  1891.1  314.8   1907.97 0.0     1797.06 1815.81 721.44  551.35  1735.01 553.29  338.74  1930.02 1008.29 1797.06 1783.23 431.04  30.86   1159.55 1882.98 1975.73 2034.28 193.1   768.77  1910.63 1695.58 1046.45 498.8   1075.91 1862.32 1173.95 865.26  1134.39 1714.41 1883.46 1441.98 1332.1  398.82  376.67  903.45  745.37  457.23  1146.39 1889.35 1666.78 1722.98 1829.87 737.87  1693.23 1759.23 1682.33 712.35  1209.68 1622.33 635.51  118.13  1710.8  753     1786.21 1127.88 1672.31 2504.21 1766.67 1784.11 1275.1  1167.12 839.48  961.35  275.91  1926.99 1152.64 715.96
6       1215.59 372.23  1908.75 389.1   1836.48 0       493.96  1414.57 1778.04 72.72   1554.88 1967.65 411.15  799.41  0       407.25  1525.86 1809.7  1091.2  507.0   599.71  658.3   1693.06 1461.9  534.65  638.04  1283.85 1840.52 1313.31 106.84  1215.63 1882.94 1002.56 153.92  507.48  814.72  685.96  2056.07 1513.61 1453.67 1438.5  1552.05 1014.56 513.37  153.13  351.26  453.89  1273.77 321.47  383.25  310.61  1680.64 622.99  307.31  1637.1  1887.79 97.56   1446.14 66.99   729.72  296.38  1128.23 361.75  408.13  1319.13 780.54  1276.86 1511.57 1901.06 605.13  928.98  1215.59
7       1334.05 246.8   2027.22 263.67  1954.94 551.96  0.0     1501.52 1864.99 624.77  1673.34 2079.66 285.72  977.75  551.96  476.38  1644.32 1928.16 1178.15 664.22  756.97  815.52  1811.57 1548.85 691.87  717.86  1370.8  1927.47 1400.2  576.47  1302.58 1969.89 1089.51 469.31  356.17  901.67  772.91  2125.57 1632.05 1540.62 1525.45 1670.51 1101.51 670.59  705.09  903.22  405.46  1360.72 873.47  540.47  862.57  1767.59 1069.99 394.26  1755.56 2006.27 649.49  1533.09 541.11  816.68  599.74  1425.29 913.71  571.68  1406.08 867.49  1363.81 1598.52 2019.52 111.18  1107.39 1334.05
8       682.06  1630.32 995.22  1647.19 922.94  1536.28 1555.03 0.0     859.2   1609.09 641.34  1054.11 1669.24 974.3   1536.28 1749.24 612.32  896.16  897.52  1848.99 1941.74 2000.29 779.57  253.97  1876.64 1434.82 677.83  921.68  707.29  1560.79 805.33  964.1   872.36  1453.63 1739.68 1181.2  1071.32 1142.53 600.07  534.83  226.86  638.51  884.36  1855.36 1689.41 1688.99 1788.98 369.34  1659.14 1725.24 1648.34 761.8   1175.69 1361.6  723.56  974.27  1633.84 31.57   1525.43 867.1   1638.37 2470.22 1732.68 1750.12 906.48  906.31  645.75  592.73  987.46  1666.21 1118.72 682.06
9       1045.59 1971.48 695.94  1988.35 523.45  1877.44 1896.19 847.78  0.0     1950.25 882.91  214.67  2010.4  1330.82 1877.44 2105.76 760.66  496.58  1238.68 2205.51 2298.26 2356.81 517.81  895.11  2233.16 1776    763.36  62.48   733.1   1901.95 831.14  477.49  1213.52 1794.79 2080.85 1522.36 1412.48 286.05  706.28  733.98  871.71  786.85  1225.52 2211.79 2030.57 2045.51 2130.14 710.5   2015.76 2081.76 2004.79 324.56  1532.21 1702.76 965.13  574.78  1975.0  879.35  1866.59 1208.26 1994.89 2826.74 2089.2  2106.64 932.29  1247.5  986.91  655.26  310.66  2007.37 1475.24 1045.59
10      1142.78 422.38  1835.95 439.25  1763.67 127.99  544.11  1464.68 1828.19 0.0     1482.07 1894.84 487.42  726.66  127.99  334.44  1453.05 1736.89 1141.35 434.18  526.94  585.49  1620.3  1512.05 461.84  688.11  1334.0  1890.67 1363.46 156.99  1265.78 1933.09 1052.71 204.07  434.67  864.87  736.11  1983.26 1440.8  1503.76 1488.65 1479.24 1064.71 440.56  80.32   278.45  381.08  1323.92 248.65  310.44  237.8   1730.79 550.18  357.46  1564.29 1815.0  24.75   1496.22 117.14  779.84  223.57  1055.42 288.85  335.32  1369.28 830.69  1339.23 1561.72 1828.25 655.29  856.23  1142.78
11      504.95  1680.06 685.79  1696.93 613.51  1586.02 1604.7  510.4   985.63  1523.97 0.0     744.68  1718.98 797.25  1586.02 1572.19 302.89  586.73  948.51  1671.91 1764.69 1823.24 470.14  557.73  1699.59 1484.58 835.41  908.09  864.87  1651.28 962.91  1121.68 923.35  1503.37 1672.42 1230.94 1121.06 833.1   290.64  692.41  534.33  329.08  935.35  1678.31 1455.77 1511.92 1618.81 526.83  1482.13 1548.19 1471.29 919.38  998.64  1411.34 221.09  664.74  1499.76 541.97  1575.17 916.84  1461.32 2293.17 1555.63 1573.07 1064.06 956.08  628.44  750.31  678.09  1715.95 941.67  504.95
