        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92
1       0.0     411.83  105.46  865.86  525.97  636.57  1070.16 1213.97 480.78  491.62  1047.27 725.91  1023.17 1061.54 816.61  493.63  1071.37 492.85  747.9   979.31  1166.93 476.31  945.7   767.99  514.7   613.17  617.63  431.13  1318.23 950.71  979.57  881.91  316.72  787.75  1081.01 1191.92 671.16  492.12  704.16  1005.59 970.1   1033.55 814.53  1099.76 1191.92 1084.21 1175.05 292.2   585.31  886.79  1007.45 977.18  604.69  1041.79 1081.01 503.91  1006.93 611.89  1259.68 519.31  810.13  548.77  349.8   430.34  1138.17 1111.11 1188.82 746.93  625.95  1043.18 1113.82 1194.58 1173.3  475.04  1807.14 620.81  1146.27 1167.41 880.95  1087.22 152.29  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       608.63  0       520.45  1280.85 652.04  823.43  658.32  802.14  490.01  906.65  915.63  314.1   891.53  1221.8  1231.6  361.99  1231.63 907.84  1162.89 1139.57 1035.29 891.3   1354.24 356.16  929.77  800.03  1032.62 552.49  1186.59 822.25  567.74  1042.17 364.32  1202.74 669.18  780.09  1086.15 80.29   864.42  593.76  791.71  901.91  1229.52 687.93  780.09  1244.47 763.22  269.73  173.48  1301.8  875.74  845.54  192.86  1202.05 669.18  918.9   875.29  737.96  1128.04 645.38  1225.12 674.84  471.16  513.94  896.65  919.83  1057.16 907.19  214.12  911.54  921.88  1062.89 1041.66 635.3   1675.51 807.67  693.69  872.59  1295.92 675.41  438.24  1656.52 918.98  936.33  680.66  142.07  638.39  873.07  1294.1  799.11  399.34  608.63
3       88.18   500.01  0.0     760.4   420.51  531.11  1158.34 1302.15 568.96  386.19  1135.45 814.11  1111.35 956.08  711.15  581.81  965.98  387.34  642.44  873.85  1255.11 370.85  840.24  856.17  409.32  507.71  512.1   325.67  1406.41 1038.88 1067.75 776.45  404.9   682.29  1169.19 1280.1  565.7   580.3   598.7   1093.77 1058.28 1121.73 709.07  1187.94 1280.1  978.75  1263.23 380.37  673.49  781.35  1095.63 1065.36 692.87  936.33  1169.19 398.45  1095.11 506.43  1347.86 413.85  704.67  443.31  244.34  518.52  1226.35 1199.29 1277.0  641.47  714.13  1131.36 1202.0  1282.76 1261.48 369.58  1895.4  515.35  1234.45 1255.59 775.49  1175.4  240.47  1876.34 1138.8  1156.24 642.5   539.25  284.63  607.38  773.65  1299.12 524.84  88.18
4       748.28  1160.11 853.74  0.0     1085.34 801.0   1818.44 1962.25 1229.06 408.91  1795.55 1474.21 1771.45 666.49  43.51   1241.91 524.22  452.21  122.78  583.58  1915.21 346.84  370.97  1516.27 567.37  777.6   520.0   992.66  2066.51 1699.04 1727.85 744.58  1065.0  63.09   1829.29 1940.2  225.33  1240.4  984.9   1753.87 1718.38 1781.83 32.27   1848.04 1940.2  897.51  1923.33 1040.52 1333.59 347.03  1755.73 1725.46 1352.97 531.03  1829.29 463.27  1755.21 1171.26 2007.96 1078.68 180.47  1108.14 911.33  1178.62 1886.41 1859.39 1937.1  1027.67 1374.23 1791.46 1862.1  1942.86 1921.58 770.1   2555.45 785.24  1894.55 1915.68 107.8   1835.47 900.49  2536.44 1798.9  1816.34 1307.33 1199.35 871.71  993.58  308.23  1959.22 1184.94 748.28
5       616.22  557.35  721.68  1222.73 0.0     736.21  1215.68 1359.49 282.3   848.53  1473.49 408.94  1449.39 860.98  1173.48 919.85  870.88  849.72  1104.77 778.75  1593.15 833.18  993.42  913.51  871.58  712.81  974.5   463.55  1744.45 1379.66 783.73  681.35  509.32  1144.62 1226.53 1337.44 1028.03 637.64  502.11  1151.11 1349.06 1459.77 1171.4  1245.28 1337.44 883.65  1320.57 718.46  730.83  1243.68 1433.67 1403.33 750.15  841.23  1226.53 860.78  1433.15 324.5   1685.9  267.8   1167.0  22.8    382.22  403.82  1454.0  1477.18 1615.04 544.88  771.47  1469.4  1479.23 1620.8  1599.52 548.08  2233.44 720.45  1251.04 1429.94 1237.82 1232.76 584.53  2214.38 1476.84 1494.28 221.99  596.59  552.54  512.28  1089.49 1356.46 862.88  616.22
6       543.71  728.77  649.19  835.94  546.16  0.0     1387.1  1530.91 796.47  461.74  1591.0  1042.87 1566.9  803.1   786.69  1037.36 813.0   462.93  717.98  720.87  1710.66 446.39  915.77  1084.93 484.86  95.82   587.71  453.48  1861.96 1551.08 1296.51 623.47  600.25  757.83  1397.95 1508.86 641.24  809.06  445.72  1322.53 1520.48 1577.28 784.61  1416.7  1508.86 825.76  1491.99 835.97  902.25  856.89  1551.18 1520.91 921.63  783.35  1397.95 473.95  1550.66 632.08  1803.41 539.5   780.21  568.96  372.15  746.03  1625.42 1648.6  1732.55 488.49  942.89  1586.91 1650.65 1738.26 1717.03 230.94  2350.95 110.17  1422.46 1601.36 851.03  1404.18 695.94  2331.89 1594.35 1611.79 768.15  768.01  507.42  454.36  849.19  1527.88 980.39  543.71
7       1226.41 740.61  1138.29 1898.61 1301.39 1472.78 0.0     422.03  1139.36 1524.49 398.22  825.57  374.12  1871.15 1849.44 633.87  1881.05 1525.68 1780.73 1788.92 517.88  1509.14 1978.46 848.78  1547.61 1449.31 1650.46 1201.84 669.18  164.01  648.92  1691.52 1013.67 1820.58 10.88   399.98  1703.99 681.83  1513.77 172.03  133.41  384.4   1847.36 504.84  399.98  1893.82 383.11  810.27  659.92  1919.64 358.4   332.39  842.21  1851.4  10.88   1536.74 362.14  1387.31 610.53  1294.73 1842.96 1324.19 1120.51 1025.44 489.12  462.06  539.77  1556.54 822.02  394.13  464.77  545.53  524.25  1284.65 1158.17 1457.02 117.72  518.36  1913.78 17.11   1048.53 1139.11 372.63  419.01  1330.01 791.42  1287.74 1522.45 1911.94 616.02  939.92  1226.41
8       1322.36 804.99  1234.18 1994.58 1365.74 1537.16 332.38  0.0     1203.74 1620.38 209.63  889.98  273.62  1935.52 1945.33 784.99  1945.41 1621.48 1876.62 1853.3  417.38  1605.03 2067.97 913.16  1643.5  1513.76 1746.35 1266.22 568.68  496.36  706.17  1755.9  1078.05 1916.47 343.23  16.83   1799.88 746.21  1578.15 267.81  465.76  284.0   1943.25 170.11  16.83   1958.2  68.17   966.08  724.3   2015.53 283.81  468.79  906.59  1915.78 343.23  1632.63 498.49  1451.69 510.13  1359.11 1938.85 1388.57 1184.89 1089.82 133.39  156.51  439.27  1620.92 886.4   293.63  158.62  444.96  423.75  1349.03 1057.67 1521.4  367.74  109.26  2009.67 349.46  1151.97 1038.61 704.98  324.92  1394.39 855.8   1352.12 1586.83 2007.83 281.29  1095.7  1322.36
9       472.62  275.04  384.44  1144.84 514.69  686.13  933.38  1077.19 0.0     770.64  1191.19 589.15  1167.09 1084.5  1095.59 637.55  1094.37 771.8   1026.88 1002.27 1310.85 755.29  1216.94 631.21  793.76  662.73  896.61  415.19  1462.15 1097.36 842.79  904.87  227.02  1066.73 944.23  1055.14 950.14  355.34  727.12  868.81  1066.76 1177.47 1093.51 962.94  1055.14 1107.11 1038.27 436.16  448.53  1165.79 1151.34 1121.1  467.91  1064.75 944.23  782.82  1150.85 600.66  1403.6  508.08  1089.11 537.54  333.8   252.6   1171.7  1194.86 1332.74 769.89  489.17  1187.1  1196.93 1338.5  1317.22 498.0   1951.14 670.37  968.74  1147.64 1159.93 950.46  302.23  1932.08 1194.54 1211.93 527.28  314.29  501.09  735.8   1158.09 1074.16 580.58  472.62
10      414.62  826.51  520.14  439.19  751.65  467.31  1484.84 1628.65 895.46  0.0     1461.95 1140.61 1437.85 842.95  389.94  908.31  675.63  118.55  321.23  759.98  1581.61 49.64   519.03  1182.67 233.77  443.95  190.96  659.06  1732.91 1365.44 1394.25 829.05  731.4   361.04  1495.69 1606.6  244.49  906.7   651.3   1420.27 1384.78 1448.23 387.86  1514.44 1606.6  1098.38 1589.73 706.92  999.99  460.14  1422.13 1391.86 1019.37 682.44  1495.69 129.67  1421.61 837.66  1674.36 745.08  383.46  774.54  577.73  845.02  1552.85 1525.79 1603.5  694.07  1040.63 1457.86 1528.5  1609.26 1587.98 436.59  2221.9  451.64  1560.95 1582.09 454.27  1501.87 566.88  2202.82 1465.3  1482.74 973.73  865.75  538.11  659.98  452.36  1625.62 851.34  414.62
