        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      93      94      95      96      97      98      99      100     101     102     103     104     105     106     107     108     109     110     111     112
1       0.0     532.93  615.09  1167.41 1138.69 1018.96 994.7   1113.82 1138.17 1111.11 1089.23 970.1   950.71  1067.18 816.61  865.86  475.04  349.8   431.13  452.88  418.34  430.34  492.12  411.83  563.04  585.31  792.45  335.85  316.72  604.69  906.33  636.57  613.17  945.7   880.95  105.46  747.9   611.95  625.95  152.29  292.2   1005.59 998.36  998.36  1807.14 1007.45 1259.68 1047.27 1023.17 1166.93 1188.82 1081.01 525.97  1041.79 1191.92 979.31  1053.23 1070.16 944.86  704.16  957.38  617.63  979.57  1194.58 1175.05 515.19  746.93  810.13  671.16  557.56  1146.27 1318.23 530.1   524.51  1099.76 1071.37 443.29  886.79  711.94  503.91  493.63  654.94  881.91  814.53  492.85  1084.21 548.77  1175.05 998.0   480.78  589.24  649.86  725.91  1033.55 1006.93 611.89  966.28  1213.97 616.05  567.93  1173.3  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       504.95  0.0     221.09  1672.42 1643.7  1523.97 1499.76 1618.81 1643.16 1616.12 1594.24 1475.11 1455.77 1572.19 615.59  664.74  526.83  668.06  749.39  771.14  923.35  935.35  997.03  916.84  1068.05 1090.32 1297.46 840.86  821.73  1109.7  1411.34 557.73  534.33  744.68  679.93  610.47  546.88  1116.96 1130.96 657.26  797.25  1510.6  1503.37 1503.37 2312.23 1512.46 1764.69 1552.28 1528.18 1671.91 1693.8  1586.02 842.07  908.09  1696.93 985.63  1558.24 1575.17 982.33  741.63  963.7   416.61  1484.58 1699.59 1680.06 314.17  784.4   609.11  470.14  595.03  1651.28 1823.24 329.08  840.61  1604.7  901.28  948.3   685.79  749.41  302.89  998.64  692.41  919.38  613.51  291.83  1121.68 864.87  1680.06 1503.01 985.79  510.4   571.02  1230.94 1538.56 1511.92 927.99  1471.29 1718.98 1121.06 962.91  1678.31 2293.17 1555.63 1573.07 1064.06 956.08  628.44  750.31  678.09  1715.95 941.67  504.95
3       443.52  66.84   0.0     1610.99 1582.27 1462.54 1438.33 1557.4  1581.75 1554.69 1532.81 1413.68 1394.34 1510.76 554.16  603.41  465.49  606.63  687.96  709.71  861.92  873.92  935.6   855.41  1006.62 1028.89 1236.03 779.43  760.3   1048.27 1349.91 496.3   472.9   683.25  618.5   549.04  485.45  1055.53 1069.53 595.78  735.8   1449.17 1441.94 1441.94 2250.8  1451.03 1703.26 1490.85 1466.75 1610.51 1632.4  1524.59 780.64  846.65  1635.5  924.2   1496.81 1513.74 920.9   680.2   902.27  355.18  1423.15 1638.16 1618.63 252.71  722.97  547.68  408.71  533.6   1589.85 1761.81 267.65  779.18  1543.34 839.85  886.87  624.3   687.93  241.46  937.21  630.97  857.95  552.08  230.4   1060.25 803.44  1618.63 1441.58 924.36  448.97  509.59  1169.51 1477.13 1450.51 866.56  1409.86 1657.55 1059.63 901.48  1616.88 2231.71 1494.2  1511.64 1002.63 894.65  567.01  688.88  616.66  1654.52 880.24  443.52
4       1268.26 1607.55 1689.77 0.0     23.92   421.95  397.71  49.29   24.06   47.24   142.26  373.09  353.75  120.21  1891.23 1940.39 1454.42 1290.28 1371.61 1393.36 1183.21 1195.21 851.6   910.38  807.4   829.59  523.14  1202.57 1183.44 1011.98 487.96  1642.55 1619.15 2020.32 1955.57 1180.08 1822.52 977.79  991.79  1090.32 852.14  373.2   365.89  365.89  948.34  174.48  400.75  100.3   164.29  308.01  329.94  448.62  1471.13 2021.17 122.22  1958.69 194.27  437.77  1924.24 1683.54 1936.76 1692.23 811.56  335.7   173.57  1589.76 1726.31 1884.75 1745.78 1536.94 473.13  459.35  1604.72 1469.7  275.49  2050.79 1271.64 1961.43 1691.32 1578.53 675.66  1634.32 1861.29 1889.15 1567.47 2063.54 1493.96 173.57  380.28  1309.13 1595.22 1655.77 995.37  174.67  389.21  1557.08 348.56  105.39  866.61  1396.28 314.42  929.25  453.61  215.59  1499.78 961.19  1457.48 1692.22 1953.73 386.67  981.71  1268.26
5       1403.9  1743.19 1825.41 28.79   0.0     497.58  522.33  78.08   52.85   76.03   171.05  401.88  382.52  149.0   2026.87 2076.12 1430.57 1266.43 1347.76 1369.51 1159.36 1171.36 827.75  886.43  783.57  805.84  499.29  1178.72 1159.59 988.13  464.11  1618.7  1595.3  2149.51 2091.18 1315.72 1958.16 953.94  967.89  1233.51 880.92  349.32  342.12  342.12  977.13  203.27  429.59  129.09  193.08  336.77  358.73  424.77  1447.31 1997.32 98.37   1934.84 223.14  413.92  1900.39 1659.69 1912.91 1827.85 787.71  364.49  149.72  1725.45 1702.46 2020.39 1881.42 1513.09 449.28  488.14  1740.36 1445.85 251.65  2026.92 1247.79 2097.07 1667.47 1714.17 704.45  1610.42 1837.44 2024.79 1703.11 2039.74 1470.01 149.72  409.04  1285.28 1571.37 1631.99 971.52  203.46  418.0   1533.23 377.35  81.54   842.76  1372.43 343.21  958.07  482.4   244.38  1475.93 937.34  1433.62 1668.37 2089.37 362.83  1010.5  1403.9
6       1142.78 1482.07 1564.29 434.67  405.95  0.0     24.75   381.08  405.43  378.37  356.49  49.72   80.32   334.44  1765.75 1815.0  1323.92 1159.78 1241.11 1262.86 1052.71 1064.71 721.09  779.84  676.92  699.19  392.64  1072.07 1052.94 881.48  357.46  1512.05 1488.65 1894.84 1830.09 1054.6  1697.04 847.29  861.29  964.84  726.66  211.27  204.07  204.07  1074.48 274.69  526.94  314.53  290.43  434.18  456.08  127.99  1340.66 1890.67 439.25  1828.19 320.49  117.14  1793.74 1553.04 1806.26 1566.77 688.11  461.84  422.38  1464.33 1595.81 1759.27 1620.3  1406.44 156.99  585.49  1479.24 1339.2  544.11  1920.32 1141.14 1835.95 1560.82 1453.05 550.18  1503.76 1730.79 1763.67 1441.99 1933.09 1363.46 422.38  269.52  1178.63 1464.68 1525.34 864.87  300.72  278.45  1426.58 237.8   487.42  736.11  1265.78 440.56  1055.42 288.85  335.32  1369.28 830.69  1339.23 1561.72 1828.25 655.29  856.23  1142.78
7       1118.03 1457.32 1539.54 409.92  381.16  54.37   0.0     356.33  380.68  353.62  331.74  24.97   55.57   309.69  1741.0  1790.25 1348.54 1184.47 1265.8  1287.55 1077.4  1089.4  745.79  804.57  701.61  723.88  417.33  1096.76 1077.63 906.17  382.15  1560.96 1537.56 1870.09 1805.34 1029.85 1672.29 871.98  885.98  940.09  701.91  235.99  228.76  228.76  1049.73 249.96  502.19  289.78  265.68  409.44  431.33  152.68  1365.35 1915.36 463.94  1852.88 295.74  141.83  1818.43 1577.73 1830.95 1541.97 712.88  437.09  447.07  1439.58 1620.5  1734.52 1595.55 1431.13 181.68  560.74  1454.49 1363.89 568.8   1944.96 1165.83 1811.2  1585.51 1428.3  525.41  1528.51 1755.48 1738.92 1417.24 1957.78 1388.11 447.07  244.77  1203.32 1513.63 1574.25 889.56  276.06  253.7   1451.27 213.05  462.67  760.8   1290.47 415.81  1030.67 264.17  310.57  1393.97 855.38  1314.48 1586.41 1803.5  679.92  831.48  1118.03
8       1268.55 1607.84 1690.06 53.59   24.87   422.24  398.03  0.0     24.35   47.53   142.55  373.38  354.04  120.5   1891.52 1940.77 1455.37 1291.23 1372.56 1394.31 1184.16 1196.11 852.55  911.33  808.37  830.64  524.09  1203.52 1184.39 1012.93 488.91  1643.5  1620.1  2174.31 1955.86 1180.37 1822.8  978.74  992.74  1090.61 852.43  374.15  366.92  366.92  948.63  174.77  401.08  100.59  164.58  308.34  330.23  449.57  1472.11 2022.12 123.17  1959.64 194.61  438.72  1925.19 1684.49 1937.71 1692.54 812.51  335.99  174.52  1590.1  1727.26 1885.04 1746.07 1537.89 474.08  459.64  1605.01 1470.65 276.45  2051.77 1272.59 1961.72 1692.27 1578.82 675.91  1635.27 1862.24 1889.44 1567.76 2064.54 1494.9  174.52  380.57  1310.08 1596.17 1656.79 996.32  174.96  389.5   1558.03 348.85  106.34  867.56  1397.23 314.71  929.57  453.82  215.88  1500.73 962.14  1458.46 1693.09 1954.02 387.63  982     1268.55
9       1244.22 1583.51 1665.73 78.84   50.03   397.91  373.7   25.2    0.0     23.2    118.22  349.05  329.71  96.17   1867.19 1916.44 1480.62 1316.48 1397.81 1419.56 1209.41 1221.41 877.8   936.58  833.62  855.89  549.34  1228.77 1209.64 1038.18 514.16  1668.75 1645.35 1996.28 1931.53 1156.04 1798.48 1003.99 1017.99 1066.28 828.1   399.4   392.17  392.17  924.3   150.44  376.76  76.26   140.25  284.01  305.9   496.22  1497.36 2047.37 148.39  1984.89 170.31  485.37  1950.44 1709.74 1962.96 1668.18 837.76  311.66  199.77  1565.77 1752.51 1860.71 1721.74 1563.14 525.22  435.31  1580.68 1495.9  301.7   2076.96 1297.84 1937.39 1717.52 1554.49 651.62  1660.52 1887.49 1865.11 1543.43 2089.79 1520.16 199.77  356.24  1335.33 1621.42 1682.04 1021.57 150.63  365.17  1583.28 324.52  131.59  892.81  1422.48 290.38  905.24  429.57  191.55  1525.98 987.39  1440.67 1718.42 1929.69 412.88  957.58  1244.22
10      1221.02 1560.31 1642.53 173.2   144.48  374.69  350.5   119.61  143.96  0.0     95.02   325.85  306.51  72.97   1843.99 1893.24 1490.35 1377.18 1458.51 1480.2  1320.99 1332.99 966.48  984.24  927.94  950.17  643.7   1238.5  1219.37 1085.84 608.52  1663.95 1640.55 1973.08 1908.33 1132.84 1775.28 1073.1  1087.1  1043.08 804.83  556.33  549.1   549.1   901.1   127.24  353.56  53.06   117.05  260.81  282.7   473.02  1553.35 2057.1  242.78  1994.62 147.11  462.17  1960.17 1719.47 1972.69 1644.97 1033.22 288.46  294.13  1542.53 1762.24 1837.51 1698.54 1572.87 502.02  412.11  1557.48 1551.89 396.06  2086.75 1345.94 1914.19 1727.23 1531.29 628.41  1670.25 1897.22 1841.91 1520.23 2099.52 1576.15 294.13  333.04  1383.43 1616.62 1677.24 1200.29 127.43  341.97  1639.27 301.32  225.95  987.17  1470.58 267.18  882.04  406.37  168.35  1574.08 1035.05 1417.47 1728.15 1906.49 507.16  934.47  1221.02
