        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22
1       0.0     816.61  865.86  475.04  349.8   431.13  233.65  880.95  998.36  452.88  636.57  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       797.45  0.0     49.25   819.35  960.58  1041.91 764.52  64.34   1795.89 1063.66 850.25  2585.69 1848.15 1865.59 1356.58 1248.58 920.96  1042.83 357.46  2008.47 1234.19 797.45
3       748.28  43.51   0.0     770.1   911.33  992.66  715.26  107.8   1746.64 1014.41 801.0   2536.44 1798.9  1816.34 1307.33 1199.35 871.71  993.58  308.23  1959.22 1184.94 748.28
4       340.11  897.37  946.62  0.0     141.16  222.49  197.93  961.71  1084.31 244.18  443.26  2116.26 1378.72 1396.16 537.16  537.02  276.43  492.93  959.87  1296.89 764.76  340.11
5       515.6   1138.61 1187.86 499.08  0.0     81.29   423.67  1202.95 943.15  103.08  687.21  1975.1  1237.56 1255    614.97  395.86  502.17  736.88  1201.11 1155.73 623.6   515.6
6       434.31  1057.28 1106.44 417.75  253.61  0       342.34  1121.62 861.8   21.75   605.88  1893.77 1156.23 1173.67 533.64  314.53  420.77  655.55  1119.78 1074.4  542.27  434.31
7       215.52  772.78  822.03  241.39  116.15  197.48  0.0     837.12  1059.3  219.23  429.52  2003.68 1266.14 1283.58 514.31  512.01  156.44  479.19  835.28  1271.87 652.18  215.52
8       895.09  190.32  146.81  916.91  1058.14 1139.47 862.08  0.0     1893.45 1161.22 947.81  2683.25 1945.71 1963.15 1454.14 1346.16 1018.45 1140.31 455.04  2106.03 1331.75 895.09
9       1169.34 1792.31 1841.56 1196.01 1031.87 1113.2  1120.6  1856.65 0       1134.95 1384.14 1210.88 444.4   490.78  1241.37 702.78  1199.1  1433.81 1854.81 527.38  1011.69 1169.34
10      412.62  1035.49 1084.84 396.06  231.92  313.25  320.65  1099.93 840.13  0       584.19  1872.07 1134.54 1151.98 511.95  292.84  399.15  633.86  1098.09 1052.71 520.58  412.62
11      543.71  786.69  835.94  230.94  372.15  453.48  428.92  851.03  1315.3  475.23  0.0     2331.89 1594.35 1611.79 768.15  768.01  507.42  454.36  849.19  1527.88 980.39  543.71
12      2171.34 2794.36 2843.61 2440.72 2327.55 2408.88 2211.4  2858.6  1499.47 2430.63 2614.32 0       1356.74 1113.06 2524.45 1985.42 2367.84 2678.52 2856.86 1637.92 1884.84 2171.34
13      1207.93 1830.9  1880.15 1370.71 1206.6  1287.86 1247.94 1895.24 250.82  1309.61 1558.8  1120.54 0       400.47  1416.03 877.44  1404.38 1608.47 1893.43 702.04  921.43  1207.93
14      1217.4  1840.4  1889.65 1486.76 1373.59 1454.92 1257.44 1904.74 545.51  1476.67 1660.36 889.54  402.78  0       1570.49 1031.46 1413.88 1724.49 1902.9  608.56  930.88  1217.4
15      708.69  1265.89 1315.2  640.55  474.69  556.02  566.48  1330.29 1151.92 577.77  828.68  2222.45 1484.91 1502.35 0       604.66  645.01  607.17  1184.29 1364.53 870.95  708.69
16      561.45  1184.42 1233.67 588.12  423.98  505.31  512.71  1248.76 633.82  527.07  776.35  1703.81 966.27  983.71  633.5   0       591.21  825.92  1246.97 846.4   446.68  561.45
17      346.09  903.39  952.54  316.91  191.67  273     203.95  967.73  1134.77 294.75  505.04  2134.29 1396.75 1414.19 589.83  587.53  0       554.71  965.89  1347.4  782.79  346.09
18      1078.05 906.85  956.15  737.96  879.1   960.43  935.87  971.24  1822.25 982.18  922.57  2854.2  2116.58 2134.1  959.75  1274.96 1014.37 0       710.79  2034.83 1502.7  1078.05
19      780.51  266.24  315.53  802.43  943.65  1024.98 747.59  330.62  1778.96 1046.73 833.32  2568.75 1831.22 1848.66 1156.91 1231.67 904.03  879.88  0       1991.54 1217.26 780.51
20      1222.87 1845.84 1895.09 1249.6  1085.47 1166.73 1174.13 1910.18 358.13  1188.48 1437.67 1314.11 802.53  460.58  1294.9  756.31  1252.63 1487.38 1908.34 0       996.21  1222.87
21      491.64  1114.66 1163.86 760.97  647.8   729.14  531.67  1178.95 839.93  750.88  934.66  1566.92 829.38  846.82  844.7   402.19  688.09  998.77  1177.11 1052.55 0       491.64
22      0.0     816.61  865.86  475.04  349.8   431.13  233.65  880.95  998.36  452.88  636.57  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
