        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32
1       0.0     617.63  1213.97 1070.16 671.16  491.62  514.7   476.31  530.1   503.91  492.85  563.04  886.79  780.65  1067.18 1175.05 1188.82 443.5   1043.18 443.29  1047.27 1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       570.66  0.0     1784.63 1640.82 53.53   231.29  389.75  169.22  311.84  285.63  274.59  1133.7  269.18  1351.31 1637.84 1745.68 1759.48 1014.16 1613.84 1013.95 1617.93 2358.82 1621.28 1638.72 1129.71 1021.73 694.09  815.96  261.48  1781.6  1007.32 570.66
3       1322.36 1746.35 0.0     332.38  1799.88 1620.38 1643.5  1605.03 1658.82 1632.63 1621.48 702.03  2015.53 925.82  229.54  68.17   439.27  1166.46 293.63  1166.25 209.63  1038.61 704.98  324.92  1394.39 855.8   1352.12 1586.83 2007.83 281.29  1095.7  1322.36
4       1226.41 1650.46 422.03  0.0     1703.99 1524.49 1547.61 1509.14 1562.93 1536.74 1525.68 637.65  1919.64 861.44  418.13  383.11  539.77  1102.08 394.13  1101.87 398.22  1139.11 372.63  419.01  1330.01 791.42  1287.74 1522.45 1911.94 616.02  939.92  1226.41
5       585.54  357.32  1799.57 1655.76 0.0     246.23  404.69  184.16  326.78  300.59  289.53  1148.64 267.81  1366.25 1652.78 1760.65 1774.42 1029.1  1628.78 1028.89 1632.87 2373.76 1636.22 1653.66 1144.65 1036.67 709.03  830.9   255.22  1796.54 1022.26 585.54
6       414.62  190.96  1628.65 1484.84 244.49  0.0     233.77  49.64   155.86  129.67  118.55  977.72  460.14  1195.33 1481.86 1589.73 1603.5  858.18  1457.86 857.97  1461.95 2202.82 1465.3  1482.74 973.73  865.75  538.11  659.98  452.36  1625.62 851.34  414.62
7       398.08  309.74  1612.11 1468.3  363.27  183.73  0.0     168.42  222.21  196.02  184.96  961.18  578.88  1178.79 1465.32 1573.19 1586.96 841.64  1441.32 841.43  1445.41 2186.3  1448.76 1466.2  957.19  849.21  521.57  643.44  571.22  1609.08 834.7   398.08
8       425.49  175.67  1639.46 1495.65 229.2   86.12   244.58  0.0     166.67  140.48  129.42  988.53  444.85  1206.14 1492.67 1600.54 1614.31 868.99  1468.67 868.78  1472.76 2213.65 1476.09 1493.55 984.54  876.56  548.92  670.79  437.15  1636.43 862.15  425.49
9       368.68  207.75  1582.71 1438.9  261.28  81.78   187.83  66.43   0.0     84.37   73.31   931.78  476.93  1149.39 1435.92 1543.79 1557.56 812.24  1411.92 812.03  1416.0  2156.9  1419.36 1436.8  927.79  819.79  492.17  614.04  469.23  1579.68 805.4   368.68
10      394.93  233.94  1608.9  1465.08 287.38  107.97  214.02  92.62   26.19   0       99.5    957.97  503.12  1175.58 1462.01 1569.98 1583.75 838.43  1438.11 838.22  1442.2  2183.09 1445.55 1462.99 953.98  846     518.36  640.23  495.39  1605.87 831.57  394.93
11      405.99  245.0   1619.96 1476.15 298.53  119.03  225.08  103.68  37.25   11.06   0       969.03  514.08  1186.64 1473.17 1581.04 1594.81 849.49  1449.17 849.28  1453.24 2194.15 1456.61 1474.05 965.04  857.06  529.42  651.29  506.48  1616.93 842.65  405.99
12      1129.35 1553.34 650.93  507.12  1606.87 1427.37 1450.49 1412.02 1465.81 1439.62 1428.56 0       1822.52 732.81  925.22  612.01  1046.86 973.45  901.22  973.24  905.31  1628.77 879.65  926.1   1201.38 662.79  1159.11 1393.82 1814.82 647.89  902.69  1129.35
13      767.26  539.07  1981.32 1837.51 244.38  427.98  586.44  365.84  508.53  482.34  471.28  1330.39 0.0     1548.0  1834.53 1942.4  1956.17 1210.85 1810.53 1210.64 1814.62 2555.51 1817.97 1835.41 1326.4  1218.42 890.78  1012.58 429.34  1978.21 1204.01 767.26
14      899.72  1323.71 945.77  801.96  1377.22 1197.74 1220.86 1182.39 1236.17 1209.99 1198.93 294.83  1592.89 0.0     1209.21 906.85  1330.85 743.82  1185.12 743.61  1189.3  1923.61 1192.65 1210.04 971.71  433.16  929.48  1164.19 1585.19 942.74  673.06  899.72
15      1264.95 1688.94 152.98  485.36  1742.47 1562.97 1586.05 1547.62 1601.41 1575.13 1564.16 854.92  1958.12 1078.81 0.0     221.15  326.63  1319.44 180.99  1319.23 96.99   925.97  450.3   212.28  1547.37 1008.78 1461.4  1739.81 1950.42 434.27  978.4   1264.95
