        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52
1       0.0     617.63  1213.97 1070.16 671.16  491.62  514.7   476.31  530.1   503.91  492.85  515.19  292.2   493.63  1146.27 1191.92 1191.92 1175.05 1175.05 1087.22 1081.01 1113.82 1061.54 979.57  979.31  548.77  443.5   1081.01 1173.3  105.46  998.0   335.85  475.04  1023.17 1111.11 956.31  604.69  349.8   865.86  615.09  519.31  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       570.66  0.0     1784.63 1640.82 53.53   231.29  389.75  169.22  311.84  285.63  274.59  296.93  862.9   1064.29 1716.93 1762.58 1762.58 1745.68 1745.68 1657.86 1651.67 1684.42 651.99  1550.23 569.02  930.52  1014.16 1651.67 1743.96 676.12  1568.66 906.51  592.57  1593.83 1681.77 1526.97 1175.35 733.71  248.23  490.12  901.0   2358.82 1621.28 1638.72 1129.71 1021.73 694.09  815.96  261.48  1781.6  1007.32 570.66
3       1322.36 1746.35 0.0     332.38  1799.88 1620.38 1643.5  1605.03 1658.82 1632.63 1621.48 1643.86 966.08  784.99  367.74  16.83   16.83   68.17   68.17   349.46  343.23  158.62  1935.52 706.17  1853.3  1388.57 1166.46 343.23  423.75  1234.18 489.61  1097.18 1349.03 273.62  156.51  352.9   906.59  1184.89 1994.58 1743.87 1359.11 1038.61 704.98  324.92  1394.39 855.8   1352.12 1586.83 2007.83 281.29  1095.7  1322.36
4       1226.41 1650.46 422.03  0.0     1703.99 1524.49 1547.61 1509.14 1562.93 1536.74 1525.68 1548.02 810.27  633.87  117.72  399.98  399.98  383.11  383.11  17.11   10.88   464.77  1871.15 648.92  1788.92 1324.19 1102.08 10.88   524.25  1138.29 353.21  1032.8  1284.65 374.12  462.06  307.26  842.21  1120.51 1898.61 1647.98 1294.73 1139.11 372.63  419.01  1330.01 791.42  1287.74 1522.45 1911.94 616.02  939.92  1226.41
5       585.54  357.32  1799.57 1655.76 0.0     246.23  404.69  184.16  326.78  300.59  289.53  311.87  877.84  1079.23 1731.87 1777.52 1777.52 1760.65 1760.65 1672.79 1666.61 1699.42 645.74  1565.17 562.77  945.46  1029.1  1666.61 1758.9  691.06  1583.6  921.45  607.51  1608.77 1696.71 1541.91 1190.29 748.65  246.86  505.06  916.0   2373.76 1636.22 1653.66 1144.65 1036.67 709.03  830.9   255.22  1796.54 1022.26 585.54
6       414.62  190.96  1628.65 1484.84 244.49  0.0     233.77  49.64   155.86  129.67  118.55  140.95  706.92  908.31  1560.95 1606.6  1606.6  1589.73 1589.73 1501.87 1495.69 1528.5  842.95  1394.25 759.98  774.54  858.18  1495.69 1587.98 520.14  1412.68 750.53  436.59  1437.85 1525.79 1370.95 1019.37 577.73  439.19  334.14  745.08  2202.82 1465.3  1482.74 973.73  865.75  538.11  659.98  452.36  1625.62 851.34  414.62
7       398.08  309.74  1612.11 1468.3  363.27  183.73  0.0     168.42  222.21  196.02  184.96  207.3   690.38  891.77  1544.41 1590.06 1590.06 1573.19 1573.19 1485.32 1479.15 1511.96 961.73  1377.71 878.76  758.0   841.64  1479.15 1571.44 503.56  1396.14 733.99  420.05  1421.31 1509.25 1354.45 1002.83 561.19  557.92  239.47  728.54  2186.3  1448.76 1466.2  957.19  849.21  521.57  643.44  571.22  1609.08 834.7   398.08
8       425.49  175.67  1639.46 1495.65 229.2   86.12   244.58  0.0     166.67  140.48  129.42  151.75  717.73  919.12  1571.76 1617.41 1617.41 1600.54 1600.54 1512.69 1506.5  1539.24 827.66  1405.06 744.69  785.35  868.99  1506.5  1598.79 530.95  1423.49 761.34  447.4   1448.66 1536.6  1381.8  1030.18 588.54  423.9   344.95  755.89  2213.65 1476.09 1493.55 984.54  876.56  548.92  670.79  437.15  1636.43 862.15  425.49
9       368.68  207.75  1582.71 1438.9  261.28  81.78   187.83  66.43   0.0     84.37   73.31   95.65   660.98  862.37  1515.01 1560.66 1560.66 1543.79 1543.79 1455.93 1449.75 1482.56 859.81  1348.31 776.77  728.6   812.24  1449.75 1542.04 474.2   1366.74 704.59  390.65  1391.91 1479.85 1325.05 973.43  531.79  455.88  288.2   699.1   2156.9  1419.36 1436.8  927.79  819.79  492.17  614.04  469.23  1579.68 805.4   368.68
10      394.93  233.94  1608.9  1465.08 287.38  107.97  214.02  92.62   26.19   0       99.5    11.28   687.17  888.56  1541.2  1586.85 1586.85 1569.98 1569.98 1482.13 1475.94 1508.75 885.93  1374.5  802.96  754.79  838.43  1475.94 1568.23 500.39  1392.93 730.78  416.84  1418.1  1506.04 1351.24 999.62  557.93  482.17  314.39  725.33  2183.09 1445.55 1462.99 953.98  846     518.36  640.23  495.39  1605.87 831.57  394.93
