        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17
1       0.0     810.13  814.53  787.75  563.04  1023.17 1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       701.91  0.0     128.24  101.46  1265.02 1725.15 2490.14 1752.6  1770.02 1261.03 1153.05 825.41  947.28  252.51  1912.92 1138.64 701.91
3       715.96  148.24  0.0     30.86   1279.09 1739.22 2504.21 1766.67 1784.11 1275.1  1167.12 839.48  961.35  275.91  1926.99 1152.64 715.96
4       685.11  117.38  106.86  0.0     1248.23 1708.36 2473.35 1735.81 1753.25 1244.24 1136.26 808.62  930.49  245.14  1896.13 1121.85 685.11
5       1129.35 1745.84 1750.24 1723.46 0       881.21  1628.77 879.65  926.1   1201.38 662.79  1159.11 1393.82 1814.82 647.89  902.69  1129.35
6       1171.49 1787.98 1792.38 1765.6  987.87  0.0     764.99  356.84  113.24  1524.55 985.52  1367.94 1678.62 1856.96 556.12  884.94  1171.49
7       2171.34 2787.88 2792.28 2765.5  1917.52 1062.82 0       1356.74 1113.06 2524.45 1985.42 2367.84 2678.52 2856.86 1637.92 1884.84 2171.34
8       1207.93 1824.42 1828.82 1802.04 723.67  355.58  1120.54 0       400.47  1416.03 877.44  1404.38 1608.47 1893.43 702.04  921.43  1207.93
9       1217.4  1833.92 1838.32 1811.54 1033.81 124.55  889.54  402.78  0       1570.49 1031.46 1413.88 1724.49 1902.9  608.56  930.88  1217.4
10      708.69  1259.47 1263.87 1237.09 716.63  1457.46 2222.45 1484.91 1502.35 0       604.66  645.01  607.17  1184.29 1364.53 870.95  708.69
11      561.45  1177.94 1182.34 1155.56 198.5   938.82  1703.81 966.27  983.71  633.5   0       591.21  825.92  1246.97 846.4   446.68  561.45
12      346.09  896.91  901.31  874.53  699.5   1369.3  2134.29 1396.75 1414.19 589.83  587.53  0       554.71  965.89  1347.4  782.79  346.09
13      1078.05 776.58  904.82  878.01  1386.83 2089.21 2854.2  2116.58 2134.1  959.75  1274.96 1014.37 0       710.79  2034.83 1502.7  1078.05
14      780.51  135.96  264.2   237.42  1343.64 1803.77 2568.75 1831.22 1848.66 1156.91 1231.67 904.03  879.88  0       1991.54 1217.26 780.51
15      1222.87 1839.36 1843.76 1816.98 602.54  409.28  1314.11 802.53  460.58  1294.9  756.31  1252.63 1487.38 1908.34 0       996.21  1222.87
16      491.64  1108.2  1112.62 1085.73 404.61  801.93  1566.92 829.38  846.82  844.7   402.19  688.09  998.77  1177.11 1052.55 0       491.64
17      0.0     810.13  814.53  787.75  563.04  1023.17 1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
