        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72
1       0.0     1007.45 1259.68 1047.27 1023.17 1166.93 1188.82 1194.58 1033.55 1173.3  1043.18 1053.23 956.31  810.13  814.53  787.75  767.99  649.86  620.81  886.79  589.24  233.65  616.05  780.65  1099.76 881.91  944.86  1071.37 1061.54 557.56  654.94  1175.05 950.71  1191.92 966.28  1081.01 430.34  530.1   979.31  1018.96 532.93  945.7   1213.97 292.2   1081.01 1067.18 503.91  998.36  443.5   1034.12 906.33  1318.23 671.16  636.57  475.04  979.57  519.31  1041.79 548.77  1146.27 567.93  1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1093.78 0.0     367.75  155.28  131.24  275.0   296.89  302.65  141.62  281.37  151.25  161.3   69.09   1710.27 1714.67 1687.89 1105.84 1550    1520.95 1786.95 1489.38 1133.79 953.9   1118.5  498.34  1769.98 1832.93 1959.47 1949.61 1445.63 1543.01 396.41  179.27  345.06  174.08  345.78  1205.75 1430.24 1867.38 247.47  1433.07 1845.84 328.23  677.66  345.78  175.25  1404.05 421.86  1218.91 1934.26 575.25  426.3   1571.3  1536.71 1363.11 905.98  1419.45 1929.86 1448.91 374.78  1343.34 896.23  279.13  176.13  1446.84 907.8   1290.23 1600.91 1779.25 609.52  807.23  1093.78
3       1598.31 504.5   0.0     528.72  489.74  398.18  420.07  425.83  437.2   404.55  446.83  456.88  573.62  2214.8  2219.2  2192.42 1557.56 2054.53 2025.48 2291.48 1993.91 1638.32 1405.62 1570.22 955.57  2274.51 2337.46 2464.01 2454.14 1950.16 2047.52 1030.94 683.74  718.52  678.61  850.31  1710.28 1934.7  2371.91 752.0   1937.6  2350.32 701.69  1182.19 850.31  548.71  1908.58 926.39  1723.44 2438.79 1026.97 525.25  2075.79 2041.24 1867.64 1246.48 1923.98 2434.39 1953.44 879.31  1847.87 528.48  783.66  540.06  1951.37 1412.34 1794.76 2105.44 2283.78 1066.83 1311.76 1598.31
4       1284.86 191.08  417.4   0.0     180.89  324.65  346.54  352.3   191.27  331.02  200.9   210.95  260.17  1901.35 1905.75 1878.97 1086.05 1723.34 1694.29 1978.03 1662.72 1324.87 934.11  1098.71 343.0   1928.79 1991.74 2118.32 2108.42 1604.37 1701.82 241.07  370.35  189.72  365.16  516.12  1262.71 1621.32 2026.19 438.55  1624.15 2036.85 172.89  868.74  516.12  19.91   1595.13 433.47  1339.35 2125.34 555.46  475.92  1762.38 1710.05 1521.92 879.06  1532.0  2088.67 1561.46 565.86  1463.78 945.88  470.21  232.19  1567.28 1028.69 1481.31 1759.72 1970.33 454.18  998.31  1284.86
5       1171.49 77.71   236.51  101.98  0.0     143.76  165.65  171.41  10.38   150.13  20.01   30.05   146.8   1787.98 1792.38 1765.6  1183.55 1627.67 1598.66 1864.66 1567.09 1211.5  1031.61 1196.21 444.98  1847.69 1910.64 2037.18 2027.24 1523.34 1620.72 343.05  256.98  291.7   251.79  423.44  1283.46 1507.95 1945.09 325.18  1510.78 1923.55 274.87  755.37  423.44  121.88  1481.76 499.57  1296.62 2011.97 652.96  295.06  1649.01 1614.42 1440.82 983.69  1497.16 2007.57 1526.62 452.49  1421.05 764.99  356.84  113.24  1524.55 985.52  1367.94 1678.62 1856.96 556.12  884.94  1171.49
6       1297.23 203.45  180.8   227.72  188.66  0.0     64.43   70.19   136.12  6.37    145.65  155.8   272.54  1913.72 1918.12 1891.34 1309.29 1753.45 1724.4  1990.38 1692.83 1337.24 1157.35 1321.95 570.72  1973.43 2036.38 2162.96 2153.06 1649.08 1746.46 468.79  382.72  417.44  377.53  549.23  1409.2  1633.69 2070.83 450.92  1636.52 2049.21 400.61  881.11  549.23  247.63  1607.5  625.31  1422.36 2137.71 778.7   243.03  1774.75 1740.16 1566.56 1109.38 1622.9  2133.31 1652.36 578.23  1546.79 709.34  482.58  238.98  1650.29 1111.26 1493.68 1804.36 1982.7  681.9   1010.68 1297.23
7       1322.25 228.47  205.88  252.74  213.68  24.96   0.0     5.76    161.14  31.39   170.77  180.82  297.56  1938.74 1943.14 1916.36 1334.31 1778.47 1749.42 2015.42 1717.85 1362.26 1182.37 1346.97 595.74  1998.45 2061.4  2187.98 2178.08 1674.1  1771.48 493.81  407.67  442.46  402.55  574.25  1434.13 1658.67 2095.85 475.94  1661.54 2074.23 425.63  906.13  574.25  272.64  1632.52 650.33  1447.38 2162.73 803.72  268.05  1799.77 1765.18 1591.58 1134.45 1647.92 2158.33 1677.38 603.16  1571.81 734.36  507.6   263.92  1675.31 1136.28 1518.7  1829.38 2007.72 706.92  1035.7  1322.25
8       1316.49 222.62  200.12  246.98  207.92  19.26   27.12   0.0     155.38  25.63   165.01  175.06  291.8   1932.98 1937.38 1910.6  1328.55 1772.71 1743.66 2009.66 1712.09 1356.5  1176.61 1341.21 589.98  1992.69 2055.64 2182.22 2172.32 1668.34 1765.72 488.01  401.89  436.7   396.79  568.49  1428.37 1652.86 2090.09 470.18  1655.78 2068.55 419.87  900.37  568.49  266.89  1626.71 644.57  1441.62 2156.97 797.96  262.29  1793.91 1759.42 1585.82 1128.69 1642.16 2152.57 1671.62 597.49  1566.05 728.6   501.84  258.24  1669.55 1130.52 1512.94 1823.62 2001.96 701.16  1029.94 1316.49
9       1161.11 67.33   289.05  91.6    52.45   196.26  218.19  223.95  0.0     202.67  9.63    19.68   136.42  1777.6  1782.0  1755.22 1173.17 1617.33 1588.28 1854.28 1556.71 1201.12 1021.23 1185.74 434.6   1837.31 1900.26 2026.84 2016.94 1512.96 1610.34 332.67  246.6   281.32  241.41  413.11  1273.08 1497.57 1934.71 314.8   1500.4  1913.17 264.39  744.99  413.11  111.51  1471.38 489.19  1286.24 2001.59 642.58  347.6   1638.63 1604.04 1430.44 973.31  1486.78 1997.19 1516.24 442.11  1410.67 817.53  346.41  102.86  1514.17 975.14  1357.56 1668.24 1846.58 545.78  874.56  1161.11
10      1290.86 197.08  174.49  221.35  182.28  36.17   58.06   63.82   129.75  0.0     139.38  149.34  266.17  1907.35 1911.75 1884.97 1302.92 1747.08 1718.03 1984.03 1686.36 1330.87 1150.98 1315.58 564.35  1967.06 2030.01 2156.59 2146.69 1642.71 1740.09 462.33  376.35  411.07  371.16  542.86  1402.74 1627.32 2064.46 444.55  1630.15 2042.92 394.24  874.74  542.86  241.26  1601.13 618.94  1415.99 2131.34 772.33  236.66  1768.3  1733.79 1560.19 1103.06 1616.53 2126.94 1645.99 571.86  1540.42 702.89  476.13  232.61  1643.92 1104.89 1487.31 1797.99 1976.33 675.5   1004.31 1290.86
