        1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92
1       0.0     1007.45 1259.68 1047.27 1023.17 1166.93 1188.82 1194.58 1033.55 1173.3  1043.18 1053.23 956.31  881.91  944.86  1071.37 1061.54 557.56  654.94  711.94  519.31  480.78  1034.12 725.91  979.57  617.63  1213.97 1070.16 671.16  491.62  514.7   476.31  530.1   503.91  492.85  515.19  292.2   493.63  1146.27 1191.92 1191.92 411.83  105.46  865.86  525.97  636.57  1041.79 1111.11 746.93  475.04  1113.82 886.79  349.8   880.95  816.61  152.29  810.13  625.95  747.9   979.31  814.53  1099.76 945.7   767.99  430.34  613.17  1138.17 431.13  1318.23 950.71  585.31  1175.05 316.72  787.75  1081.01 1084.21 611.89  492.12  704.16  1005.59 970.1   1788.16 1050.62 1068.06 671.43  451.07  390.09  712.84  879.11  1210.94 436.66  0.0
2       1093.78 0.0     367.75  155.28  131.24  275.0   296.89  302.65  141.62  281.37  151.25  161.3   69.09   1769.98 1832.93 1959.47 1949.61 1445.63 1543.01 1600.01 1419.45 1256.19 1934.26 1073.05 905.98  1517.77 328.23  334.93  1571.3  1391.8  1414.92 1376.45 1430.24 1404.05 1392.99 1415.33 677.66  501.18  374.78  345.06  345.06  857     1005.6  1766.0  1426.04 1536.71 1929.86 219.18  1635.0  1363.11 221.89  1786.95 1249.94 1781.09 1716.75 915.84  1710.27 959.86  1648.04 1867.38 1714.67 498.34  1845.84 1105.84 1205.75 1513.31 246.24  1331.27 426.3   179.27  932.43  396.41  1092.13 1687.89 345.78  1972.28 1512.03 839.24  1592.23 429.09  198.61  896.23  279.13  176.13  1446.84 907.8   1290.23 1600.91 1779.25 609.52  807.23  1093.78
3       1598.31 504.5   0.0     528.72  489.74  398.18  420.07  425.83  437.2   404.55  446.83  456.88  573.62  2274.51 2337.46 2464.01 2454.14 1950.16 2047.52 2104.47 1923.98 1760.72 2438.79 1534.31 1246.48 2022.3  701.69  839.46  2075.79 1896.33 1919.36 1880.98 1934.7  1908.58 1897.52 1919.86 1182.19 1005.71 879.31  718.52  718.52  1361.53 1510.13 2270.53 1930.64 2041.24 2434.39 592.64  2139.53 1867.64 595.35  2291.48 1754.47 2285.62 2221.28 1420.37 2214.8  1464.39 2152.57 2371.91 2219.2  955.57  2350.32 1557.56 1710.28 2017.84 619.7   1835.8  525.25  683.74  1368.7  1030.94 1596.66 2192.42 850.31  2476.76 2016.56 1343.77 2096.76 933.62  703.14  528.48  783.66  540.06  1951.37 1412.34 1794.76 2105.44 2283.78 1066.83 1311.76 1598.31
4       1284.86 191.08  417.4   0.0     180.89  324.65  346.54  352.3   191.27  331.02  200.9   210.95  260.17  1928.79 1991.74 2118.32 2108.42 1604.37 1701.82 1758.82 1532.0  1376.63 2125.34 1062.87 879.06  1708.85 172.89  505.27  1762.38 1582.88 1606.0  1567.53 1621.32 1595.13 1584.07 1606.41 868.74  692.26  565.86  189.72  189.72  977.88  1196.68 1957.08 1538.66 1710.05 2088.67 63.84   1793.81 1521.92 66.55   1978.03 1357.78 1972.17 1907.83 1106.92 1901.35 1059.26 1839.12 2026.19 1905.75 343.0   2036.85 1086.05 1262.71 1686.65 90.9    1439.11 475.92  370.35  897.19  241.07  1250.94 1878.97 516.12  2131.09 1624.58 919.1   1750.97 440.7   389.69  945.88  470.21  232.19  1567.28 1028.69 1481.31 1759.72 1970.33 454.18  998.31  1284.86
5       1171.49 77.71   236.51  101.98  0.0     143.76  165.65  171.41  10.38   150.13  20.01   30.05   146.8   1847.69 1910.64 2037.18 2027.24 1523.34 1620.72 1677.72 1497.16 1333.9  2011.97 1150.76 983.69  1595.48 274.87  412.64  1649.01 1469.51 1492.63 1454.16 1507.95 1481.76 1470.7  1493.04 755.37  578.89  452.49  291.7   291.7   934.71  1083.31 1843.71 1503.82 1614.42 2007.57 165.82  1712.71 1440.82 168.53  1864.66 1327.65 1858.76 1794.46 993.55  1787.98 1037.57 1725.75 1945.09 1792.38 444.98  1923.55 1183.55 1283.46 1591.02 192.88  1408.98 295.06  256.98  1010.14 343.05  1169.84 1765.6  423.44  2049.99 1589.74 916.95  1669.94 506.74  276.32  764.99  356.84  113.24  1524.55 985.52  1367.94 1678.62 1856.96 556.12  884.94  1171.49
6       1297.23 203.45  180.8   227.72  188.66  0.0     64.43   70.19   136.12  6.37    145.65  155.8   272.54  1973.43 2036.38 2162.96 2153.06 1649.08 1746.46 1803.46 1622.9  1459.64 2137.71 1276.5  1109.38 1721.2  400.61  538.38  1774.75 1595.25 1618.3  1579.9  1633.69 1607.5  1596.44 1618.78 881.11  704.63  578.23  417.44  417.44  1060.45 1209.05 1969.45 1629.56 1740.16 2133.31 291.56  1838.45 1566.56 294.27  1990.38 1453.39 1984.54 1920.2  1119.29 1913.72 1163.31 1851.49 2070.83 1918.12 570.72  2049.21 1309.29 1409.2  1716.76 318.62  1534.72 243.03  382.72  1135.88 468.79  1295.58 1891.34 549.23  2175.73 1715.48 1042.69 1795.68 632.45  402.06  709.34  482.58  238.98  1650.29 1111.26 1493.68 1804.36 1982.7  681.9   1010.68 1297.23
7       1322.25 228.47  205.88  252.74  213.68  24.96   0.0     5.76    161.14  31.39   170.77  180.82  297.56  1998.45 2061.4  2187.98 2178.08 1674.1  1771.48 1828.48 1647.92 1484.66 2162.73 1301.44 1134.45 1746.24 425.63  563.4   1799.77 1620.27 1643.39 1604.92 1658.67 1632.52 1621.38 1643.8  906.13  729.65  603.16  442.46  442.46  1085.47 1234.07 1994.47 1654.58 1765.18 2158.33 316.53  1863.47 1591.58 319.29  2015.42 1478.41 2009.56 1945.22 1144.31 1938.74 1188.33 1876.51 2095.85 1943.14 595.74  2074.23 1334.31 1434.13 1741.78 343.64  1559.74 268.05  407.67  1160.9  493.81  1320.6  1916.36 574.25  2200.75 1740.5  1067.71 1820.7  657.56  427.02  734.36  507.6   263.92  1675.31 1136.28 1518.7  1829.38 2007.72 706.92  1035.7  1322.25
8       1316.49 222.62  200.12  246.98  207.92  19.26   27.12   0.0     155.38  25.63   165.01  175.06  291.8   1992.69 2055.64 2182.22 2172.32 1668.34 1765.72 1822.72 1642.16 1478.9  2156.97 1295.76 1128.69 1740.39 419.87  557.64  1793.91 1614.51 1637.63 1599.16 1652.86 1626.71 1615.7  1637.97 900.37  723.89  597.49  436.7   436.7   1079.71 1228.31 1988.71 1648.82 1759.42 2152.57 310.78  1857.71 1585.82 313.53  2009.66 1472.65 2003.8  1939.46 1138.55 1932.98 1182.57 1870.75 2090.09 1937.38 589.98  2068.55 1328.55 1428.37 1736.02 337.88  1553.98 262.29  401.89  1155.14 488.01  1314.84 1910.6  568.49  2194.99 1734.74 1061.95 1814.94 651.8   421.32  728.6   501.84  258.24  1669.55 1130.52 1512.94 1823.62 2001.96 701.16  1029.94 1316.49
9       1161.11 67.33   289.05  91.6    52.45   196.26  218.19  223.95  0.0     202.67  9.63    19.68   136.42  1837.31 1900.26 2026.84 2016.94 1512.96 1610.34 1667.27 1486.78 1323.52 2001.59 1140.38 973.31  1585.0  264.39  402.26  1638.63 1459.09 1482.25 1443.78 1497.57 1471.38 1460.32 1482.65 744.99  568.51  442.11  281.32  281.32  924.33  1072.93 1833.33 1493.44 1604.04 1997.19 155.44  1702.33 1430.44 158.15  1854.28 1317.27 1848.42 1784.08 983.17  1777.6  1027.19 1715.34 1934.71 1782.0  434.6   1913.17 1173.17 1273.08 1580.64 182.5   1398.6  347.6   246.6   999.76  332.67  1159.46 1755.22 413.11  2039.61 1579.36 906.57  1659.56 496.42  265.94  817.53  346.41  102.86  1514.17 975.14  1357.56 1668.24 1846.58 545.78  874.56  1161.11
10      1290.86 197.08  174.49  221.35  182.28  36.17   58.06   63.82   129.75  0.0     139.38  149.34  266.17  1967.06 2030.01 2156.59 2146.69 1642.71 1740.09 1797.0  1616.53 1453.27 2131.34 1270.13 1103.06 1714.85 394.24  532.01  1768.3  1588.88 1611.91 1573.53 1627.32 1601.13 1590.07 1612.34 874.74  698.2   571.86  411.07  411.07  1054.08 1202.68 1963.08 1623.19 1733.79 2126.94 285.19  1832.08 1560.19 287.9   1984.03 1447.02 1978.17 1913.83 1112.92 1907.35 1156.94 1845.12 2064.46 1911.75 564.35  2042.92 1302.92 1402.74 1710.39 312.25  1528.35 236.66  376.35  1129.51 462.33  1289.21 1884.97 542.86  2169.36 1709.11 1036.32 1789.21 626.17  395.69  702.89  476.13  232.61  1643.92 1104.89 1487.31 1797.99 1976.33 675.5   1004.31 1290.86
11      1151.57 57.79   279.51  82.06   43.0    186.76  208.65  214.41  53.38   193.13  0.0     10.14   126.88  1827.77 1890.72 2017.3  2007.4  1503.42 1600.8  1657.8  1477.21 1313.98 1992.05 1130.84 963.77  1575.47 254.95  392.72  1629.09 1449.59 1472.63 1434.24 1488.03 1461.81 1450.78 1473.06 735.45  558.97  432.57  271.78  271.78  914.79  1063.39 1823.79 1483.9  1594.5  1987.65 145.9   1692.79 1420.9  148.61  1844.74 1307.73 1838.88 1774.54 973.63  1768.06 1017.65 1705.83 1925.17 1772.46 425.06  1903.63 1163.63 1263.54 1571.1  172.96  1389.06 338.06  237.05  990.22  323.08  1149.92 1745.68 403.5   2030.07 1569.82 897.03  1650.02 486.88  256.4   807.99  336.92  93.24   1504.58 965.6   1348.02 1658.7  1837.04 536.24  865.02  1151.57
12      1141.36 47.65   269.37  71.92   32.86   176.62  198.51  204.27  43.24   182.99  52.87   0.0     116.74  1817.63 1880.58 2007.12 1997.26 1493.28 1590.66 1647.66 1467.1  1303.84 1981.91 1120.7  953.58  1565.42 244.81  382.58  1618.95 1439.45 1462.53 1424.1  1477.89 1451.7  1440.64 1462.98 725.31  548.83  422.43  261.64  261.64  904.65  1053.25 1813.65 1473.71 1584.36 1977.51 135.76  1682.59 1410.76 138.47  1834.6  1297.59 1828.74 1764.4  963.49  1757.92 1007.51 1695.69 1915.03 1762.32 414.92  1893.49 1153.49 1253.4  1560.96 162.82  1378.92 327.92  226.92  980.08  312.99  1139.78 1735.52 393.39  2019.93 1559.68 886.89  1639.88 476.65  246.26  797.85  326.78  83.18   1494.49 955.46  1337.88 1648.56 1826.9  526.1   854.88  1141.36
